Epochs : 1, train loss : 0.617635, train accurancy : 74.72, test accurancy : 71.11
Epochs : 2, train loss : 0.537123, train accurancy : 77.31, test accurancy : 73.24
Epochs : 3, train loss : 0.508906, train accurancy : 76.02, test accurancy : 72.22
Epochs : 4, train loss : 0.490743, train accurancy : 78.98, test accurancy : 73.80
Epochs : 5, train loss : 0.478848, train accurancy : 77.04, test accurancy : 71.76
Epochs : 6, train loss : 0.466577, train accurancy : 81.39, test accurancy : 74.07
Epochs : 7, train loss : 0.463521, train accurancy : 81.85, test accurancy : 73.80
Epochs : 8, train loss : 0.460254, train accurancy : 81.48, test accurancy : 73.15
Epochs : 9, train loss : 0.454461, train accurancy : 82.04, test accurancy : 73.52
Epochs : 10, train loss : 0.438302, train accurancy : 82.78, test accurancy : 75.28
Epochs : 11, train loss : 0.421054, train accurancy : 83.61, test accurancy : 75.83
Epochs : 12, train loss : 0.411161, train accurancy : 85.74, test accurancy : 76.02
Epochs : 13, train loss : 0.414633, train accurancy : 85.19, test accurancy : 75.00
Epochs : 14, train loss : 0.381529, train accurancy : 86.57, test accurancy : 78.52
Epochs : 15, train loss : 0.380397, train accurancy : 87.22, test accurancy : 77.87
Epochs : 16, train loss : 0.362679, train accurancy : 86.76, test accurancy : 78.52
Epochs : 17, train loss : 0.341314, train accurancy : 90.28, test accurancy : 79.17
Epochs : 18, train loss : 0.354343, train accurancy : 90.09, test accurancy : 80.93
Epochs : 19, train loss : 0.341873, train accurancy : 90.93, test accurancy : 80.37
Epochs : 20, train loss : 0.332906, train accurancy : 90.93, test accurancy : 81.11
Epochs : 21, train loss : 0.322087, train accurancy : 90.28, test accurancy : 80.83
Epochs : 22, train loss : 0.335324, train accurancy : 91.48, test accurancy : 79.81
Epochs : 23, train loss : 0.315605, train accurancy : 91.94, test accurancy : 81.67
Epochs : 24, train loss : 0.312345, train accurancy : 91.20, test accurancy : 80.37
Epochs : 25, train loss : 0.283242, train accurancy : 92.41, test accurancy : 80.65
Epochs : 26, train loss : 0.277118, train accurancy : 93.06, test accurancy : 81.67
Epochs : 27, train loss : 0.284285, train accurancy : 91.48, test accurancy : 81.76
Epochs : 28, train loss : 0.282793, train accurancy : 91.48, test accurancy : 81.67
Epochs : 29, train loss : 0.290862, train accurancy : 93.70, test accurancy : 82.41
Epochs : 30, train loss : 0.281242, train accurancy : 94.26, test accurancy : 82.41
Epochs : 31, train loss : 0.270208, train accurancy : 94.54, test accurancy : 82.22
Epochs : 32, train loss : 0.270596, train accurancy : 94.26, test accurancy : 81.11
Epochs : 33, train loss : 0.247350, train accurancy : 94.63, test accurancy : 82.69
Epochs : 34, train loss : 0.254981, train accurancy : 94.72, test accurancy : 81.94
Epochs : 35, train loss : 0.257278, train accurancy : 95.09, test accurancy : 82.04
Epochs : 36, train loss : 0.230656, train accurancy : 95.37, test accurancy : 82.31
Epochs : 37, train loss : 0.231365, train accurancy : 94.63, test accurancy : 81.48
Epochs : 38, train loss : 0.228588, train accurancy : 94.26, test accurancy : 84.07
Epochs : 39, train loss : 0.221313, train accurancy : 95.93, test accurancy : 81.94
Epochs : 40, train loss : 0.234772, train accurancy : 96.20, test accurancy : 82.96
Epochs : 41, train loss : 0.228515, train accurancy : 95.93, test accurancy : 83.70
Epochs : 42, train loss : 0.221936, train accurancy : 96.48, test accurancy : 82.22
Epochs : 43, train loss : 0.216962, train accurancy : 96.39, test accurancy : 83.70
Epochs : 44, train loss : 0.220358, train accurancy : 97.04, test accurancy : 84.44
Epochs : 45, train loss : 0.219851, train accurancy : 97.13, test accurancy : 84.44
Epochs : 46, train loss : 0.203082, train accurancy : 96.48, test accurancy : 84.63
Epochs : 47, train loss : 0.196278, train accurancy : 97.96, test accurancy : 85.56
Epochs : 48, train loss : 0.186418, train accurancy : 97.13, test accurancy : 83.70
Epochs : 49, train loss : 0.191530, train accurancy : 97.31, test accurancy : 83.15
Epochs : 50, train loss : 0.196013, train accurancy : 95.46, test accurancy : 82.31
Epochs : 51, train loss : 0.166834, train accurancy : 97.59, test accurancy : 84.26
Epochs : 52, train loss : 0.197928, train accurancy : 97.59, test accurancy : 84.54
Epochs : 53, train loss : 0.189275, train accurancy : 98.15, test accurancy : 85.09
Epochs : 54, train loss : 0.183035, train accurancy : 97.69, test accurancy : 84.72
Epochs : 55, train loss : 0.174605, train accurancy : 98.15, test accurancy : 84.91
Epochs : 56, train loss : 0.177712, train accurancy : 97.04, test accurancy : 82.96
Epochs : 57, train loss : 0.192518, train accurancy : 97.50, test accurancy : 84.63
Epochs : 58, train loss : 0.167221, train accurancy : 97.78, test accurancy : 84.81
Epochs : 59, train loss : 0.161132, train accurancy : 97.87, test accurancy : 84.54
Epochs : 60, train loss : 0.160289, train accurancy : 98.06, test accurancy : 84.81
Epochs : 61, train loss : 0.177743, train accurancy : 98.06, test accurancy : 84.63
Epochs : 62, train loss : 0.163477, train accurancy : 98.43, test accurancy : 84.81
Epochs : 63, train loss : 0.181082, train accurancy : 98.80, test accurancy : 84.91
Epochs : 64, train loss : 0.167149, train accurancy : 98.43, test accurancy : 84.26
Epochs : 65, train loss : 0.154041, train accurancy : 98.33, test accurancy : 85.46
Epochs : 66, train loss : 0.161513, train accurancy : 99.07, test accurancy : 85.19
Epochs : 67, train loss : 0.169396, train accurancy : 99.26, test accurancy : 85.00
Epochs : 68, train loss : 0.159142, train accurancy : 98.80, test accurancy : 84.91
Epochs : 69, train loss : 0.149339, train accurancy : 98.61, test accurancy : 85.19
Epochs : 70, train loss : 0.136786, train accurancy : 99.07, test accurancy : 84.54
Epochs : 71, train loss : 0.140418, train accurancy : 98.98, test accurancy : 85.09
Epochs : 72, train loss : 0.138569, train accurancy : 99.26, test accurancy : 85.46
Epochs : 73, train loss : 0.122725, train accurancy : 99.07, test accurancy : 85.83
Epochs : 74, train loss : 0.139562, train accurancy : 99.17, test accurancy : 85.83
Epochs : 75, train loss : 0.136577, train accurancy : 99.07, test accurancy : 85.46
