Epochs : 1, train loss : 0.660543, train accurancy : 66.02, test accurancy : 66.57
Epochs : 2, train loss : 0.602601, train accurancy : 70.56, test accurancy : 69.81
Epochs : 3, train loss : 0.556504, train accurancy : 71.30, test accurancy : 69.26
Epochs : 4, train loss : 0.538798, train accurancy : 72.41, test accurancy : 69.81
Epochs : 5, train loss : 0.526265, train accurancy : 73.89, test accurancy : 70.37
Epochs : 6, train loss : 0.505117, train accurancy : 75.28, test accurancy : 69.81
Epochs : 7, train loss : 0.506323, train accurancy : 75.83, test accurancy : 70.28
Epochs : 8, train loss : 0.501609, train accurancy : 76.11, test accurancy : 70.83
Epochs : 9, train loss : 0.490829, train accurancy : 76.48, test accurancy : 71.57
Epochs : 10, train loss : 0.489011, train accurancy : 77.04, test accurancy : 71.20
Epochs : 11, train loss : 0.477509, train accurancy : 77.50, test accurancy : 71.20
Epochs : 12, train loss : 0.472435, train accurancy : 77.87, test accurancy : 72.31
Epochs : 13, train loss : 0.467818, train accurancy : 79.17, test accurancy : 72.31
Epochs : 14, train loss : 0.466465, train accurancy : 78.33, test accurancy : 71.94
Epochs : 15, train loss : 0.455918, train accurancy : 80.46, test accurancy : 72.04
Epochs : 16, train loss : 0.452583, train accurancy : 79.81, test accurancy : 72.87
Epochs : 17, train loss : 0.457137, train accurancy : 80.74, test accurancy : 72.50
Epochs : 18, train loss : 0.452975, train accurancy : 80.56, test accurancy : 72.59
Epochs : 19, train loss : 0.447340, train accurancy : 81.30, test accurancy : 73.06
Epochs : 20, train loss : 0.451248, train accurancy : 81.48, test accurancy : 72.87
Epochs : 21, train loss : 0.439521, train accurancy : 81.20, test accurancy : 73.70
Epochs : 22, train loss : 0.435066, train accurancy : 82.13, test accurancy : 73.24
Epochs : 23, train loss : 0.425418, train accurancy : 82.22, test accurancy : 73.24
Epochs : 24, train loss : 0.425846, train accurancy : 82.78, test accurancy : 73.61
Epochs : 25, train loss : 0.426828, train accurancy : 82.04, test accurancy : 73.43
Epochs : 26, train loss : 0.421034, train accurancy : 83.80, test accurancy : 73.52
Epochs : 27, train loss : 0.417082, train accurancy : 83.24, test accurancy : 73.80
Epochs : 28, train loss : 0.416466, train accurancy : 83.33, test accurancy : 73.98
Epochs : 29, train loss : 0.407462, train accurancy : 84.17, test accurancy : 74.44
Epochs : 30, train loss : 0.409514, train accurancy : 84.26, test accurancy : 74.44
Epochs : 31, train loss : 0.408510, train accurancy : 84.54, test accurancy : 74.81
Epochs : 32, train loss : 0.418659, train accurancy : 85.09, test accurancy : 75.09
Epochs : 33, train loss : 0.394534, train accurancy : 83.52, test accurancy : 74.26
Epochs : 34, train loss : 0.388879, train accurancy : 85.65, test accurancy : 75.19
Epochs : 35, train loss : 0.391348, train accurancy : 85.46, test accurancy : 75.46
Epochs : 36, train loss : 0.382794, train accurancy : 85.46, test accurancy : 74.91
Epochs : 37, train loss : 0.382776, train accurancy : 86.57, test accurancy : 75.19
Epochs : 38, train loss : 0.384989, train accurancy : 87.50, test accurancy : 75.83
Epochs : 39, train loss : 0.375095, train accurancy : 86.94, test accurancy : 76.20
Epochs : 40, train loss : 0.381993, train accurancy : 88.06, test accurancy : 76.30
Epochs : 41, train loss : 0.367650, train accurancy : 88.06, test accurancy : 77.04
Epochs : 42, train loss : 0.369290, train accurancy : 88.98, test accurancy : 77.13
