Epochs : 81, train loss : 0.142239, train accurancy : 99.07, test accurancy : 83.70
Epochs : 82, train loss : 0.143997, train accurancy : 98.52, test accurancy : 84.35
Epochs : 83, train loss : 0.128630, train accurancy : 98.43, test accurancy : 82.59
Epochs : 84, train loss : 0.132569, train accurancy : 98.89, test accurancy : 83.89
Epochs : 85, train loss : 0.133028, train accurancy : 98.98, test accurancy : 83.52
Epochs : 86, train loss : 0.140782, train accurancy : 98.98, test accurancy : 83.61
Epochs : 87, train loss : 0.142218, train accurancy : 98.98, test accurancy : 83.52
Epochs : 88, train loss : 0.137299, train accurancy : 98.89, test accurancy : 83.43
Epochs : 89, train loss : 0.127241, train accurancy : 98.70, test accurancy : 82.78
Epochs : 90, train loss : 0.129215, train accurancy : 99.07, test accurancy : 83.70
Epochs : 91, train loss : 0.131989, train accurancy : 98.80, test accurancy : 83.24
Epochs : 92, train loss : 0.123068, train accurancy : 98.80, test accurancy : 83.24
Epochs : 93, train loss : 0.144641, train accurancy : 98.43, test accurancy : 82.59
Epochs : 94, train loss : 0.152810, train accurancy : 99.17, test accurancy : 83.43
Epochs : 95, train loss : 0.137301, train accurancy : 99.17, test accurancy : 82.96
Epochs : 96, train loss : 0.126193, train accurancy : 99.07, test accurancy : 84.07
Epochs : 97, train loss : 0.128406, train accurancy : 99.35, test accurancy : 84.35
Epochs : 98, train loss : 0.117075, train accurancy : 99.35, test accurancy : 83.89
Epochs : 99, train loss : 0.115803, train accurancy : 99.35, test accurancy : 83.06
Epochs : 100, train loss : 0.128881, train accurancy : 98.61, test accurancy : 83.33
Epochs : 101, train loss : 0.121997, train accurancy : 99.17, test accurancy : 83.89
Epochs : 102, train loss : 0.133527, train accurancy : 99.07, test accurancy : 83.89
Epochs : 103, train loss : 0.123708, train accurancy : 99.17, test accurancy : 83.43
Epochs : 104, train loss : 0.123466, train accurancy : 99.35, test accurancy : 83.06
Epochs : 105, train loss : 0.131886, train accurancy : 99.44, test accurancy : 83.33
Epochs : 106, train loss : 0.105389, train accurancy : 99.26, test accurancy : 83.61
Epochs : 107, train loss : 0.105187, train accurancy : 99.17, test accurancy : 83.33
Epochs : 108, train loss : 0.116196, train accurancy : 99.63, test accurancy : 83.80
Epochs : 109, train loss : 0.107283, train accurancy : 99.35, test accurancy : 84.07
Epochs : 110, train loss : 0.102936, train accurancy : 99.26, test accurancy : 84.17
Epochs : 111, train loss : 0.108310, train accurancy : 99.54, test accurancy : 84.26
Epochs : 112, train loss : 0.115793, train accurancy : 99.44, test accurancy : 84.07
Epochs : 113, train loss : 0.098163, train accurancy : 99.63, test accurancy : 83.80
Epochs : 114, train loss : 0.114220, train accurancy : 99.72, test accurancy : 83.98
Epochs : 115, train loss : 0.108115, train accurancy : 99.63, test accurancy : 84.72
Epochs : 116, train loss : 0.113018, train accurancy : 99.81, test accurancy : 84.17
Epochs : 117, train loss : 0.106696, train accurancy : 99.72, test accurancy : 83.89
Epochs : 118, train loss : 0.107962, train accurancy : 99.81, test accurancy : 84.26
Epochs : 119, train loss : 0.101792, train accurancy : 99.91, test accurancy : 84.44
Epochs : 120, train loss : 0.114950, train accurancy : 99.81, test accurancy : 83.80
Epochs : 121, train loss : 0.101401, train accurancy : 99.72, test accurancy : 84.07
Epochs : 122, train loss : 0.098551, train accurancy : 99.35, test accurancy : 83.43
Epochs : 123, train loss : 0.100824, train accurancy : 99.81, test accurancy : 83.43
Epochs : 124, train loss : 0.111549, train accurancy : 99.81, test accurancy : 83.52
Epochs : 125, train loss : 0.093839, train accurancy : 99.91, test accurancy : 84.17
Epochs : 126, train loss : 0.088814, train accurancy : 99.91, test accurancy : 83.80
Epochs : 127, train loss : 0.088786, train accurancy : 99.81, test accurancy : 83.80
Epochs : 128, train loss : 0.099312, train accurancy : 99.81, test accurancy : 83.98
Epochs : 129, train loss : 0.092358, train accurancy : 99.63, test accurancy : 84.07
Epochs : 130, train loss : 0.101571, train accurancy : 99.91, test accurancy : 84.63
Epochs : 131, train loss : 0.084330, train accurancy : 99.81, test accurancy : 83.98
Epochs : 132, train loss : 0.096902, train accurancy : 99.91, test accurancy : 85.19
Epochs : 133, train loss : 0.102851, train accurancy : 99.81, test accurancy : 84.63
Epochs : 134, train loss : 0.092478, train accurancy : 99.91, test accurancy : 84.44
Epochs : 135, train loss : 0.092012, train accurancy : 99.91, test accurancy : 84.54
Epochs : 136, train loss : 0.094200, train accurancy : 99.91, test accurancy : 85.00
Epochs : 137, train loss : 0.095686, train accurancy : 99.81, test accurancy : 83.52
Epochs : 138, train loss : 0.080737, train accurancy : 99.81, test accurancy : 84.35
Epochs : 139, train loss : 0.078247, train accurancy : 99.81, test accurancy : 83.43
Epochs : 140, train loss : 0.102060, train accurancy : 99.91, test accurancy : 84.17
Epochs : 141, train loss : 0.088240, train accurancy : 100.00, test accurancy : 84.35
Epochs : 142, train loss : 0.109621, train accurancy : 99.91, test accurancy : 84.07
Epochs : 143, train loss : 0.074932, train accurancy : 99.81, test accurancy : 83.43
Epochs : 144, train loss : 0.072650, train accurancy : 99.91, test accurancy : 83.98
Epochs : 145, train loss : 0.079591, train accurancy : 99.91, test accurancy : 84.26
Epochs : 146, train loss : 0.077941, train accurancy : 100.00, test accurancy : 84.44
Epochs : 147, train loss : 0.085283, train accurancy : 100.00, test accurancy : 84.17
Epochs : 148, train loss : 0.086516, train accurancy : 100.00, test accurancy : 84.17
Epochs : 149, train loss : 0.080578, train accurancy : 100.00, test accurancy : 84.63
Epochs : 150, train loss : 0.095264, train accurancy : 99.91, test accurancy : 84.72
Epochs : 151, train loss : 0.088338, train accurancy : 100.00, test accurancy : 83.52
Epochs : 152, train loss : 0.087864, train accurancy : 100.00, test accurancy : 83.70
Epochs : 153, train loss : 0.080586, train accurancy : 99.91, test accurancy : 84.91
Epochs : 154, train loss : 0.068223, train accurancy : 100.00, test accurancy : 84.54
Epochs : 155, train loss : 0.082922, train accurancy : 100.00, test accurancy : 85.09
Epochs : 156, train loss : 0.076970, train accurancy : 100.00, test accurancy : 85.28
Epochs : 157, train loss : 0.104854, train accurancy : 100.00, test accurancy : 84.63
Epochs : 158, train loss : 0.092845, train accurancy : 100.00, test accurancy : 84.54
Epochs : 159, train loss : 0.084928, train accurancy : 99.91, test accurancy : 83.98
Epochs : 160, train loss : 0.082564, train accurancy : 99.63, test accurancy : 83.70
Epochs : 161, train loss : 0.077536, train accurancy : 99.91, test accurancy : 83.98
Epochs : 162, train loss : 0.102125, train accurancy : 100.00, test accurancy : 84.44
Epochs : 163, train loss : 0.069052, train accurancy : 99.91, test accurancy : 84.63
Epochs : 164, train loss : 0.075238, train accurancy : 99.91, test accurancy : 84.26
Epochs : 165, train loss : 0.074488, train accurancy : 99.81, test accurancy : 84.54
Epochs : 166, train loss : 0.092843, train accurancy : 100.00, test accurancy : 84.17
Epochs : 167, train loss : 0.086491, train accurancy : 100.00, test accurancy : 84.26
Epochs : 168, train loss : 0.069766, train accurancy : 100.00, test accurancy : 84.17
Epochs : 169, train loss : 0.097259, train accurancy : 100.00, test accurancy : 84.44
Epochs : 170, train loss : 0.075302, train accurancy : 100.00, test accurancy : 84.07
Epochs : 171, train loss : 0.074493, train accurancy : 99.91, test accurancy : 84.17
Epochs : 172, train loss : 0.073220, train accurancy : 99.91, test accurancy : 83.61
Epochs : 173, train loss : 0.075027, train accurancy : 99.81, test accurancy : 84.35
Epochs : 174, train loss : 0.086483, train accurancy : 100.00, test accurancy : 84.44
Epochs : 175, train loss : 0.068866, train accurancy : 100.00, test accurancy : 84.35
Epochs : 176, train loss : 0.060247, train accurancy : 99.81, test accurancy : 84.26
Epochs : 177, train loss : 0.069463, train accurancy : 100.00, test accurancy : 84.35
Epochs : 178, train loss : 0.075726, train accurancy : 100.00, test accurancy : 84.81
Epochs : 179, train loss : 0.062123, train accurancy : 99.91, test accurancy : 84.91
Epochs : 180, train loss : 0.060974, train accurancy : 100.00, test accurancy : 86.02
Epochs : 181, train loss : 0.076033, train accurancy : 100.00, test accurancy : 85.65
Epochs : 182, train loss : 0.066090, train accurancy : 100.00, test accurancy : 85.28
Epochs : 183, train loss : 0.077901, train accurancy : 99.54, test accurancy : 82.50
Epochs : 184, train loss : 0.064991, train accurancy : 99.91, test accurancy : 84.72
Epochs : 185, train loss : 0.072446, train accurancy : 100.00, test accurancy : 85.37
Epochs : 186, train loss : 0.066979, train accurancy : 100.00, test accurancy : 84.44
Epochs : 187, train loss : 0.077839, train accurancy : 100.00, test accurancy : 84.26
Epochs : 188, train loss : 0.057770, train accurancy : 100.00, test accurancy : 84.54
Epochs : 189, train loss : 0.068184, train accurancy : 100.00, test accurancy : 84.72
Epochs : 190, train loss : 0.065169, train accurancy : 99.91, test accurancy : 85.09
Epochs : 191, train loss : 0.054247, train accurancy : 100.00, test accurancy : 84.72
Epochs : 192, train loss : 0.058933, train accurancy : 100.00, test accurancy : 84.54
Epochs : 193, train loss : 0.058340, train accurancy : 100.00, test accurancy : 85.19
Epochs : 194, train loss : 0.074782, train accurancy : 99.81, test accurancy : 86.02
Epochs : 195, train loss : 0.061058, train accurancy : 99.91, test accurancy : 85.56
Epochs : 196, train loss : 0.063124, train accurancy : 99.91, test accurancy : 85.28
Epochs : 197, train loss : 0.059702, train accurancy : 100.00, test accurancy : 84.26
Epochs : 198, train loss : 0.084548, train accurancy : 100.00, test accurancy : 85.56
Epochs : 199, train loss : 0.062109, train accurancy : 100.00, test accurancy : 85.46
Epochs : 200, train loss : 0.066884, train accurancy : 100.00, test accurancy : 85.37
Epochs : 201, train loss : 0.053573, train accurancy : 100.00, test accurancy : 85.56
Epochs : 202, train loss : 0.065306, train accurancy : 100.00, test accurancy : 85.00
Epochs : 203, train loss : 0.054171, train accurancy : 100.00, test accurancy : 85.09
Epochs : 204, train loss : 0.064310, train accurancy : 100.00, test accurancy : 84.63
Epochs : 205, train loss : 0.073158, train accurancy : 100.00, test accurancy : 85.28
Epochs : 206, train loss : 0.055661, train accurancy : 100.00, test accurancy : 85.00
Epochs : 207, train loss : 0.052684, train accurancy : 100.00, test accurancy : 83.33
Epochs : 208, train loss : 0.065605, train accurancy : 100.00, test accurancy : 84.72
Epochs : 209, train loss : 0.055386, train accurancy : 100.00, test accurancy : 84.72
Epochs : 210, train loss : 0.057261, train accurancy : 100.00, test accurancy : 84.44
Epochs : 211, train loss : 0.063938, train accurancy : 100.00, test accurancy : 84.54
Epochs : 212, train loss : 0.051147, train accurancy : 100.00, test accurancy : 84.81
Epochs : 213, train loss : 0.058238, train accurancy : 100.00, test accurancy : 84.44
Epochs : 214, train loss : 0.055305, train accurancy : 100.00, test accurancy : 84.44
Epochs : 215, train loss : 0.066025, train accurancy : 100.00, test accurancy : 85.00
Epochs : 216, train loss : 0.056515, train accurancy : 100.00, test accurancy : 84.54
Epochs : 217, train loss : 0.049389, train accurancy : 100.00, test accurancy : 84.44
Epochs : 218, train loss : 0.056199, train accurancy : 100.00, test accurancy : 85.00
Epochs : 219, train loss : 0.062440, train accurancy : 100.00, test accurancy : 85.09
