Epochs : 1, train loss : 0.696632, train accurancy : 61.30, test accurancy : 61.02
Epochs : 2, train loss : 0.644833, train accurancy : 66.48, test accurancy : 65.93
Epochs : 3, train loss : 0.607827, train accurancy : 70.19, test accurancy : 67.87
Epochs : 4, train loss : 0.582940, train accurancy : 72.69, test accurancy : 70.37
Epochs : 5, train loss : 0.547150, train accurancy : 73.43, test accurancy : 71.20
Epochs : 6, train loss : 0.525172, train accurancy : 73.89, test accurancy : 70.00
Epochs : 7, train loss : 0.523709, train accurancy : 74.91, test accurancy : 70.65
Epochs : 8, train loss : 0.516881, train accurancy : 75.93, test accurancy : 70.37
Epochs : 9, train loss : 0.495909, train accurancy : 75.93, test accurancy : 70.19
Epochs : 10, train loss : 0.499442, train accurancy : 75.74, test accurancy : 70.09
Epochs : 11, train loss : 0.502032, train accurancy : 76.76, test accurancy : 70.19
Epochs : 12, train loss : 0.482830, train accurancy : 76.76, test accurancy : 70.09
Epochs : 13, train loss : 0.493011, train accurancy : 77.22, test accurancy : 70.09
Epochs : 14, train loss : 0.489872, train accurancy : 77.78, test accurancy : 70.74
Epochs : 15, train loss : 0.480651, train accurancy : 77.59, test accurancy : 70.93
Epochs : 16, train loss : 0.480907, train accurancy : 77.69, test accurancy : 70.93
Epochs : 17, train loss : 0.473839, train accurancy : 77.78, test accurancy : 71.39
Epochs : 18, train loss : 0.489018, train accurancy : 78.33, test accurancy : 71.76
Epochs : 19, train loss : 0.461162, train accurancy : 78.52, test accurancy : 71.67
Epochs : 20, train loss : 0.456184, train accurancy : 78.70, test accurancy : 71.76
Epochs : 21, train loss : 0.462956, train accurancy : 78.80, test accurancy : 72.22
Epochs : 22, train loss : 0.457143, train accurancy : 78.89, test accurancy : 72.78
Epochs : 23, train loss : 0.449598, train accurancy : 79.44, test accurancy : 72.87
Epochs : 24, train loss : 0.455371, train accurancy : 80.00, test accurancy : 72.59
Epochs : 25, train loss : 0.441343, train accurancy : 80.65, test accurancy : 73.52
Epochs : 26, train loss : 0.442720, train accurancy : 80.83, test accurancy : 73.43
Epochs : 27, train loss : 0.443410, train accurancy : 80.74, test accurancy : 73.33
Epochs : 28, train loss : 0.436357, train accurancy : 80.65, test accurancy : 73.80
Epochs : 29, train loss : 0.439755, train accurancy : 81.30, test accurancy : 74.07
Epochs : 30, train loss : 0.432409, train accurancy : 81.85, test accurancy : 74.07
Epochs : 31, train loss : 0.427566, train accurancy : 81.94, test accurancy : 74.44
Epochs : 32, train loss : 0.430954, train accurancy : 82.50, test accurancy : 74.63
Epochs : 33, train loss : 0.422641, train accurancy : 82.41, test accurancy : 74.35
Epochs : 34, train loss : 0.416162, train accurancy : 83.06, test accurancy : 75.09
Epochs : 35, train loss : 0.412318, train accurancy : 83.15, test accurancy : 74.91
Epochs : 36, train loss : 0.405793, train accurancy : 83.33, test accurancy : 74.91
Epochs : 37, train loss : 0.409558, train accurancy : 83.80, test accurancy : 75.37
Epochs : 38, train loss : 0.410053, train accurancy : 84.26, test accurancy : 75.56
Epochs : 39, train loss : 0.402921, train accurancy : 84.44, test accurancy : 75.83
Epochs : 40, train loss : 0.411879, train accurancy : 84.26, test accurancy : 75.65
Epochs : 41, train loss : 0.404672, train accurancy : 84.81, test accurancy : 76.30
Epochs : 42, train loss : 0.391730, train accurancy : 84.91, test accurancy : 76.30
Epochs : 43, train loss : 0.394027, train accurancy : 84.72, test accurancy : 76.39
Epochs : 44, train loss : 0.381683, train accurancy : 84.63, test accurancy : 75.83
Epochs : 45, train loss : 0.390406, train accurancy : 85.19, test accurancy : 76.39
Epochs : 46, train loss : 0.393081, train accurancy : 85.93, test accurancy : 77.13
Epochs : 47, train loss : 0.369307, train accurancy : 85.93, test accurancy : 76.76
Epochs : 48, train loss : 0.374111, train accurancy : 85.93, test accurancy : 76.76
Epochs : 49, train loss : 0.369418, train accurancy : 86.30, test accurancy : 77.13
Epochs : 50, train loss : 0.365889, train accurancy : 86.39, test accurancy : 77.04
Epochs : 51, train loss : 0.356810, train accurancy : 87.13, test accurancy : 77.59
Epochs : 52, train loss : 0.352927, train accurancy : 86.02, test accurancy : 76.30
Epochs : 53, train loss : 0.372940, train accurancy : 86.85, test accurancy : 77.69
Epochs : 54, train loss : 0.341879, train accurancy : 87.78, test accurancy : 77.69
Epochs : 55, train loss : 0.357088, train accurancy : 88.43, test accurancy : 77.96
Epochs : 56, train loss : 0.339689, train accurancy : 88.33, test accurancy : 78.43
Epochs : 57, train loss : 0.328796, train accurancy : 89.17, test accurancy : 78.33
Epochs : 58, train loss : 0.335161, train accurancy : 89.07, test accurancy : 78.98
Epochs : 59, train loss : 0.341886, train accurancy : 89.63, test accurancy : 78.89
Epochs : 60, train loss : 0.325900, train accurancy : 90.19, test accurancy : 79.26
Epochs : 61, train loss : 0.340359, train accurancy : 89.81, test accurancy : 79.17
Epochs : 62, train loss : 0.337617, train accurancy : 90.19, test accurancy : 79.26
Epochs : 63, train loss : 0.326047, train accurancy : 90.28, test accurancy : 79.17
Epochs : 64, train loss : 0.318853, train accurancy : 90.65, test accurancy : 78.98
Epochs : 65, train loss : 0.318701, train accurancy : 90.83, test accurancy : 79.44
Epochs : 66, train loss : 0.307974, train accurancy : 91.67, test accurancy : 80.09
Epochs : 67, train loss : 0.310907, train accurancy : 91.57, test accurancy : 80.83
Epochs : 68, train loss : 0.309382, train accurancy : 91.48, test accurancy : 79.44
Epochs : 69, train loss : 0.294279, train accurancy : 91.39, test accurancy : 79.72
Epochs : 70, train loss : 0.298542, train accurancy : 92.50, test accurancy : 81.02
Epochs : 71, train loss : 0.296754, train accurancy : 92.13, test accurancy : 81.39
Epochs : 72, train loss : 0.295130, train accurancy : 90.56, test accurancy : 79.72
Epochs : 73, train loss : 0.291798, train accurancy : 92.59, test accurancy : 80.28
Epochs : 74, train loss : 0.288395, train accurancy : 91.94, test accurancy : 81.02
Epochs : 75, train loss : 0.282315, train accurancy : 93.24, test accurancy : 81.02
Epochs : 76, train loss : 0.271488, train accurancy : 93.70, test accurancy : 81.20
Epochs : 77, train loss : 0.280644, train accurancy : 91.94, test accurancy : 80.46
Epochs : 78, train loss : 0.275811, train accurancy : 93.24, test accurancy : 81.30
Epochs : 79, train loss : 0.263366, train accurancy : 93.06, test accurancy : 81.30
Epochs : 80, train loss : 0.261816, train accurancy : 93.70, test accurancy : 81.30
Epochs : 81, train loss : 0.268922, train accurancy : 93.43, test accurancy : 81.30
Epochs : 82, train loss : 0.255564, train accurancy : 93.61, test accurancy : 80.93
Epochs : 83, train loss : 0.262539, train accurancy : 93.80, test accurancy : 81.48
Epochs : 84, train loss : 0.260013, train accurancy : 93.89, test accurancy : 81.57
Epochs : 85, train loss : 0.257017, train accurancy : 92.31, test accurancy : 81.30
Epochs : 86, train loss : 0.255124, train accurancy : 94.63, test accurancy : 81.94
Epochs : 87, train loss : 0.251660, train accurancy : 94.54, test accurancy : 81.85
Epochs : 88, train loss : 0.254591, train accurancy : 94.26, test accurancy : 81.57
Epochs : 89, train loss : 0.238442, train accurancy : 94.72, test accurancy : 82.04
Epochs : 90, train loss : 0.247110, train accurancy : 94.35, test accurancy : 81.67
Epochs : 91, train loss : 0.233837, train accurancy : 94.63, test accurancy : 81.48
Epochs : 92, train loss : 0.228364, train accurancy : 95.28, test accurancy : 81.57
Epochs : 93, train loss : 0.229636, train accurancy : 95.19, test accurancy : 82.04
Epochs : 94, train loss : 0.229718, train accurancy : 95.00, test accurancy : 82.31
Epochs : 95, train loss : 0.234294, train accurancy : 95.37, test accurancy : 81.76
Epochs : 96, train loss : 0.223932, train accurancy : 95.46, test accurancy : 81.57
Epochs : 97, train loss : 0.230064, train accurancy : 95.28, test accurancy : 82.22
