Epochs : 1, train loss : 0.665368, train accurancy : 67.22, test accurancy : 63.15
Epochs : 2, train loss : 0.581038, train accurancy : 72.04, test accurancy : 67.59
Epochs : 3, train loss : 0.542810, train accurancy : 73.61, test accurancy : 68.80
Epochs : 4, train loss : 0.517928, train accurancy : 75.37, test accurancy : 69.81
Epochs : 5, train loss : 0.505915, train accurancy : 75.65, test accurancy : 70.83
Epochs : 6, train loss : 0.498055, train accurancy : 76.76, test accurancy : 70.65
Epochs : 7, train loss : 0.491139, train accurancy : 77.59, test accurancy : 71.02
Epochs : 8, train loss : 0.484419, train accurancy : 78.98, test accurancy : 71.94
Epochs : 9, train loss : 0.476174, train accurancy : 77.87, test accurancy : 72.31
Epochs : 10, train loss : 0.453021, train accurancy : 78.80, test accurancy : 72.31
Epochs : 11, train loss : 0.451431, train accurancy : 79.72, test accurancy : 73.15
Epochs : 12, train loss : 0.442349, train accurancy : 81.20, test accurancy : 73.15
Epochs : 13, train loss : 0.442314, train accurancy : 81.20, test accurancy : 74.72
Epochs : 14, train loss : 0.436124, train accurancy : 82.50, test accurancy : 74.91
Epochs : 15, train loss : 0.410172, train accurancy : 83.80, test accurancy : 76.67
Epochs : 16, train loss : 0.411368, train accurancy : 84.17, test accurancy : 76.67
Epochs : 17, train loss : 0.395880, train accurancy : 84.54, test accurancy : 77.22
Epochs : 18, train loss : 0.394502, train accurancy : 85.65, test accurancy : 77.78
Epochs : 19, train loss : 0.383446, train accurancy : 85.93, test accurancy : 77.78
Epochs : 20, train loss : 0.377593, train accurancy : 85.65, test accurancy : 78.98
Epochs : 21, train loss : 0.364927, train accurancy : 87.13, test accurancy : 79.17
Epochs : 22, train loss : 0.353739, train accurancy : 87.59, test accurancy : 79.72
Epochs : 23, train loss : 0.341698, train accurancy : 88.15, test accurancy : 79.26
Epochs : 24, train loss : 0.351837, train accurancy : 86.39, test accurancy : 79.54
Epochs : 25, train loss : 0.345274, train accurancy : 86.94, test accurancy : 79.63
Epochs : 26, train loss : 0.330447, train accurancy : 89.17, test accurancy : 79.26
Epochs : 27, train loss : 0.344628, train accurancy : 90.09, test accurancy : 80.19
Epochs : 28, train loss : 0.319391, train accurancy : 90.74, test accurancy : 80.37
Epochs : 29, train loss : 0.314208, train accurancy : 90.56, test accurancy : 80.93
Epochs : 30, train loss : 0.309562, train accurancy : 90.93, test accurancy : 79.72
Epochs : 31, train loss : 0.310145, train accurancy : 91.30, test accurancy : 81.20
Epochs : 32, train loss : 0.301681, train accurancy : 90.93, test accurancy : 81.02
Epochs : 33, train loss : 0.293412, train accurancy : 92.13, test accurancy : 80.83
Epochs : 34, train loss : 0.275219, train accurancy : 92.41, test accurancy : 81.30
Epochs : 35, train loss : 0.282240, train accurancy : 92.69, test accurancy : 81.39
Epochs : 36, train loss : 0.282058, train accurancy : 92.87, test accurancy : 81.48
Epochs : 37, train loss : 0.279344, train accurancy : 92.96, test accurancy : 81.30
Epochs : 38, train loss : 0.276925, train accurancy : 92.69, test accurancy : 81.39
Epochs : 39, train loss : 0.256836, train accurancy : 93.24, test accurancy : 81.48
Epochs : 40, train loss : 0.271820, train accurancy : 93.43, test accurancy : 81.67
Epochs : 41, train loss : 0.258593, train accurancy : 93.15, test accurancy : 82.04
Epochs : 42, train loss : 0.259824, train accurancy : 93.89, test accurancy : 82.13
Epochs : 43, train loss : 0.242383, train accurancy : 94.72, test accurancy : 81.67
Epochs : 44, train loss : 0.244599, train accurancy : 93.89, test accurancy : 82.31
Epochs : 45, train loss : 0.231526, train accurancy : 93.89, test accurancy : 82.13
Epochs : 46, train loss : 0.238900, train accurancy : 94.81, test accurancy : 82.69
Epochs : 47, train loss : 0.231541, train accurancy : 93.70, test accurancy : 82.41
Epochs : 48, train loss : 0.231799, train accurancy : 94.91, test accurancy : 82.96
Epochs : 49, train loss : 0.234360, train accurancy : 95.19, test accurancy : 83.15
Epochs : 50, train loss : 0.224910, train accurancy : 95.93, test accurancy : 83.52
Epochs : 51, train loss : 0.218019, train accurancy : 96.48, test accurancy : 83.70
Epochs : 52, train loss : 0.212403, train accurancy : 94.17, test accurancy : 82.96
Epochs : 53, train loss : 0.216520, train accurancy : 95.46, test accurancy : 83.61
Epochs : 54, train loss : 0.202873, train accurancy : 96.20, test accurancy : 83.06
Epochs : 55, train loss : 0.226272, train accurancy : 96.39, test accurancy : 84.44
Epochs : 56, train loss : 0.205073, train accurancy : 96.48, test accurancy : 84.44
Epochs : 57, train loss : 0.208556, train accurancy : 95.83, test accurancy : 83.33
Epochs : 58, train loss : 0.196826, train accurancy : 96.39, test accurancy : 84.54
Epochs : 59, train loss : 0.209149, train accurancy : 96.94, test accurancy : 84.17
Epochs : 60, train loss : 0.187595, train accurancy : 96.67, test accurancy : 83.61
Epochs : 61, train loss : 0.190891, train accurancy : 97.31, test accurancy : 83.98
Epochs : 62, train loss : 0.168736, train accurancy : 96.57, test accurancy : 83.80
Epochs : 63, train loss : 0.187148, train accurancy : 97.31, test accurancy : 84.07
Epochs : 64, train loss : 0.180346, train accurancy : 97.04, test accurancy : 84.54
Epochs : 65, train loss : 0.177203, train accurancy : 97.04, test accurancy : 84.63
Epochs : 66, train loss : 0.188658, train accurancy : 97.31, test accurancy : 84.81
Epochs : 67, train loss : 0.168940, train accurancy : 97.41, test accurancy : 84.44
Epochs : 68, train loss : 0.165783, train accurancy : 97.50, test accurancy : 83.43
Epochs : 69, train loss : 0.167052, train accurancy : 95.46, test accurancy : 81.67
Epochs : 70, train loss : 0.165250, train accurancy : 97.13, test accurancy : 83.70
Epochs : 71, train loss : 0.157984, train accurancy : 97.59, test accurancy : 84.17
Epochs : 72, train loss : 0.158969, train accurancy : 97.04, test accurancy : 85.19
Epochs : 73, train loss : 0.155948, train accurancy : 98.33, test accurancy : 85.09
Epochs : 74, train loss : 0.169058, train accurancy : 98.06, test accurancy : 85.37
Epochs : 75, train loss : 0.149201, train accurancy : 98.24, test accurancy : 84.72
Epochs : 76, train loss : 0.165222, train accurancy : 96.30, test accurancy : 83.15
Epochs : 77, train loss : 0.154765, train accurancy : 98.24, test accurancy : 85.00
Epochs : 78, train loss : 0.151821, train accurancy : 98.24, test accurancy : 84.07
Epochs : 79, train loss : 0.134207, train accurancy : 97.78, test accurancy : 83.61
Epochs : 80, train loss : 0.158828, train accurancy : 98.43, test accurancy : 84.91
Epochs : 81, train loss : 0.149126, train accurancy : 98.24, test accurancy : 83.89
Epochs : 82, train loss : 0.155380, train accurancy : 98.52, test accurancy : 84.54
Epochs : 83, train loss : 0.145366, train accurancy : 98.70, test accurancy : 85.56
Epochs : 84, train loss : 0.142273, train accurancy : 98.89, test accurancy : 84.26
