Epochs : 1, train loss : 0.697260, train accurancy : 73.52, test accurancy : 71.02
Epochs : 2, train loss : 0.552744, train accurancy : 76.20, test accurancy : 72.31
Epochs : 3, train loss : 0.511778, train accurancy : 77.59, test accurancy : 72.59
Epochs : 4, train loss : 0.470276, train accurancy : 80.37, test accurancy : 74.44
Epochs : 5, train loss : 0.470396, train accurancy : 81.94, test accurancy : 74.54
Epochs : 6, train loss : 0.469653, train accurancy : 79.54, test accurancy : 72.59
Epochs : 7, train loss : 0.459037, train accurancy : 82.69, test accurancy : 72.13
Epochs : 8, train loss : 0.436180, train accurancy : 82.22, test accurancy : 71.20
Epochs : 9, train loss : 0.419010, train accurancy : 84.17, test accurancy : 75.37
Epochs : 10, train loss : 0.411744, train accurancy : 86.94, test accurancy : 76.11
Epochs : 11, train loss : 0.392958, train accurancy : 82.59, test accurancy : 74.91
Epochs : 12, train loss : 0.374634, train accurancy : 88.61, test accurancy : 76.94
Epochs : 13, train loss : 0.356716, train accurancy : 89.91, test accurancy : 77.50
Epochs : 14, train loss : 0.342588, train accurancy : 90.28, test accurancy : 78.52
Epochs : 15, train loss : 0.317158, train accurancy : 90.93, test accurancy : 78.80
Epochs : 16, train loss : 0.304284, train accurancy : 90.93, test accurancy : 78.80
Epochs : 17, train loss : 0.281270, train accurancy : 90.28, test accurancy : 79.07
Epochs : 18, train loss : 0.284847, train accurancy : 92.78, test accurancy : 79.72
Epochs : 19, train loss : 0.313176, train accurancy : 90.19, test accurancy : 78.52
Epochs : 20, train loss : 0.258050, train accurancy : 92.41, test accurancy : 79.07
Epochs : 21, train loss : 0.290729, train accurancy : 92.87, test accurancy : 80.09
Epochs : 22, train loss : 0.281638, train accurancy : 96.30, test accurancy : 78.98
Epochs : 23, train loss : 0.249658, train accurancy : 96.48, test accurancy : 79.63
Epochs : 24, train loss : 0.240362, train accurancy : 96.11, test accurancy : 79.63
Epochs : 25, train loss : 0.236099, train accurancy : 95.00, test accurancy : 77.96
Epochs : 26, train loss : 0.228263, train accurancy : 95.19, test accurancy : 80.28
Epochs : 27, train loss : 0.237506, train accurancy : 96.57, test accurancy : 78.89
Epochs : 28, train loss : 0.184235, train accurancy : 96.57, test accurancy : 78.43
Epochs : 29, train loss : 0.199004, train accurancy : 96.20, test accurancy : 78.43
Epochs : 30, train loss : 0.193970, train accurancy : 96.57, test accurancy : 80.93
Epochs : 31, train loss : 0.202114, train accurancy : 96.20, test accurancy : 78.89
Epochs : 32, train loss : 0.170653, train accurancy : 97.96, test accurancy : 78.80
Epochs : 33, train loss : 0.181425, train accurancy : 97.87, test accurancy : 78.98
Epochs : 34, train loss : 0.176579, train accurancy : 97.41, test accurancy : 80.74
Epochs : 35, train loss : 0.178127, train accurancy : 97.50, test accurancy : 80.28
Epochs : 36, train loss : 0.175969, train accurancy : 97.87, test accurancy : 78.52
Epochs : 37, train loss : 0.193212, train accurancy : 96.94, test accurancy : 79.26
Epochs : 38, train loss : 0.169701, train accurancy : 97.69, test accurancy : 80.65
Epochs : 39, train loss : 0.165741, train accurancy : 98.33, test accurancy : 79.81
Epochs : 40, train loss : 0.165395, train accurancy : 98.70, test accurancy : 81.20
Epochs : 41, train loss : 0.127437, train accurancy : 99.17, test accurancy : 80.65
Epochs : 42, train loss : 0.143137, train accurancy : 98.24, test accurancy : 81.11
Epochs : 43, train loss : 0.160550, train accurancy : 97.31, test accurancy : 79.17
Epochs : 44, train loss : 0.150197, train accurancy : 98.43, test accurancy : 81.67
Epochs : 45, train loss : 0.137877, train accurancy : 99.26, test accurancy : 80.09
Epochs : 46, train loss : 0.113590, train accurancy : 99.44, test accurancy : 80.56
Epochs : 47, train loss : 0.125841, train accurancy : 99.72, test accurancy : 79.72
Epochs : 48, train loss : 0.115094, train accurancy : 99.44, test accurancy : 80.74
Epochs : 49, train loss : 0.123524, train accurancy : 99.26, test accurancy : 79.63
Epochs : 50, train loss : 0.186012, train accurancy : 98.43, test accurancy : 79.63
Epochs : 51, train loss : 0.131313, train accurancy : 99.72, test accurancy : 80.65
Epochs : 52, train loss : 0.113672, train accurancy : 99.63, test accurancy : 80.37
Epochs : 53, train loss : 0.114060, train accurancy : 99.63, test accurancy : 81.67
Epochs : 54, train loss : 0.117396, train accurancy : 99.72, test accurancy : 80.65
Epochs : 55, train loss : 0.107314, train accurancy : 99.44, test accurancy : 81.48
Epochs : 56, train loss : 0.088916, train accurancy : 99.72, test accurancy : 81.67
Epochs : 57, train loss : 0.098243, train accurancy : 99.81, test accurancy : 82.31
Epochs : 58, train loss : 0.095642, train accurancy : 99.72, test accurancy : 80.93
Epochs : 59, train loss : 0.104760, train accurancy : 99.72, test accurancy : 80.37
Epochs : 60, train loss : 0.110550, train accurancy : 99.17, test accurancy : 81.02
Epochs : 61, train loss : 0.119312, train accurancy : 99.54, test accurancy : 82.13
Epochs : 62, train loss : 0.082223, train accurancy : 99.54, test accurancy : 81.85
Epochs : 63, train loss : 0.116964, train accurancy : 99.35, test accurancy : 82.22
Epochs : 64, train loss : 0.089528, train accurancy : 99.72, test accurancy : 78.80
Epochs : 65, train loss : 0.085093, train accurancy : 99.54, test accurancy : 82.13
Epochs : 66, train loss : 0.105997, train accurancy : 99.44, test accurancy : 81.67
