Epochs : 1, train loss : 0.600172, train accurancy : 74.17, test accurancy : 70.46
Epochs : 2, train loss : 0.518679, train accurancy : 75.00, test accurancy : 71.85
Epochs : 3, train loss : 0.497290, train accurancy : 77.31, test accurancy : 72.69
Epochs : 4, train loss : 0.483555, train accurancy : 79.17, test accurancy : 73.80
Epochs : 5, train loss : 0.450163, train accurancy : 82.13, test accurancy : 76.39
Epochs : 6, train loss : 0.434699, train accurancy : 80.28, test accurancy : 74.44
Epochs : 7, train loss : 0.399636, train accurancy : 84.17, test accurancy : 78.43
Epochs : 8, train loss : 0.402425, train accurancy : 84.63, test accurancy : 78.43
Epochs : 9, train loss : 0.357242, train accurancy : 88.33, test accurancy : 80.65
Epochs : 10, train loss : 0.343093, train accurancy : 89.63, test accurancy : 81.48
Epochs : 11, train loss : 0.334042, train accurancy : 87.50, test accurancy : 79.81
Epochs : 12, train loss : 0.334114, train accurancy : 88.43, test accurancy : 79.54
Epochs : 13, train loss : 0.319048, train accurancy : 90.37, test accurancy : 83.06
Epochs : 14, train loss : 0.300097, train accurancy : 89.35, test accurancy : 81.11
Epochs : 15, train loss : 0.283586, train accurancy : 89.91, test accurancy : 82.41
Epochs : 16, train loss : 0.269300, train accurancy : 88.33, test accurancy : 81.94
Epochs : 17, train loss : 0.290400, train accurancy : 89.81, test accurancy : 82.59
Epochs : 18, train loss : 0.255362, train accurancy : 92.87, test accurancy : 83.89
Epochs : 19, train loss : 0.252506, train accurancy : 94.07, test accurancy : 84.07
Epochs : 20, train loss : 0.232541, train accurancy : 92.78, test accurancy : 83.33
Epochs : 21, train loss : 0.233964, train accurancy : 95.56, test accurancy : 84.54
Epochs : 22, train loss : 0.234571, train accurancy : 95.09, test accurancy : 85.09
Epochs : 23, train loss : 0.210685, train accurancy : 95.65, test accurancy : 85.19
Epochs : 24, train loss : 0.205433, train accurancy : 95.46, test accurancy : 84.07
Epochs : 25, train loss : 0.203461, train accurancy : 96.39, test accurancy : 85.19
Epochs : 26, train loss : 0.209626, train accurancy : 96.57, test accurancy : 84.35
Epochs : 27, train loss : 0.201112, train accurancy : 96.30, test accurancy : 85.28
Epochs : 28, train loss : 0.189185, train accurancy : 96.94, test accurancy : 85.56
Epochs : 29, train loss : 0.180611, train accurancy : 96.39, test accurancy : 83.24
Epochs : 30, train loss : 0.188720, train accurancy : 94.91, test accurancy : 82.96
Epochs : 31, train loss : 0.186552, train accurancy : 97.04, test accurancy : 83.70
Epochs : 32, train loss : 0.181411, train accurancy : 97.13, test accurancy : 83.98
Epochs : 33, train loss : 0.177551, train accurancy : 97.13, test accurancy : 84.44
Epochs : 34, train loss : 0.164297, train accurancy : 96.30, test accurancy : 82.96
Epochs : 35, train loss : 0.155462, train accurancy : 97.50, test accurancy : 83.80
Epochs : 36, train loss : 0.162659, train accurancy : 98.33, test accurancy : 85.74
Epochs : 37, train loss : 0.138304, train accurancy : 98.52, test accurancy : 85.19
Epochs : 38, train loss : 0.146572, train accurancy : 98.80, test accurancy : 86.11
Epochs : 39, train loss : 0.143827, train accurancy : 98.15, test accurancy : 84.63
Epochs : 40, train loss : 0.139926, train accurancy : 98.15, test accurancy : 84.54
Epochs : 41, train loss : 0.175643, train accurancy : 98.15, test accurancy : 84.07
Epochs : 42, train loss : 0.124464, train accurancy : 99.26, test accurancy : 86.39
Epochs : 43, train loss : 0.131906, train accurancy : 98.52, test accurancy : 85.19
Epochs : 44, train loss : 0.132943, train accurancy : 98.98, test accurancy : 85.65
Epochs : 45, train loss : 0.133039, train accurancy : 98.52, test accurancy : 83.33
Epochs : 46, train loss : 0.135771, train accurancy : 99.54, test accurancy : 85.46
Epochs : 47, train loss : 0.132117, train accurancy : 99.54, test accurancy : 84.91
Epochs : 48, train loss : 0.129030, train accurancy : 99.44, test accurancy : 85.56
Epochs : 49, train loss : 0.117011, train accurancy : 99.54, test accurancy : 85.19
Epochs : 50, train loss : 0.116086, train accurancy : 99.44, test accurancy : 84.63
Epochs : 51, train loss : 0.127493, train accurancy : 98.89, test accurancy : 84.91
Epochs : 52, train loss : 0.140402, train accurancy : 99.17, test accurancy : 85.83
Epochs : 53, train loss : 0.118026, train accurancy : 97.96, test accurancy : 84.44
Epochs : 54, train loss : 0.113060, train accurancy : 99.81, test accurancy : 85.65
Epochs : 55, train loss : 0.107709, train accurancy : 99.54, test accurancy : 85.83
Epochs : 56, train loss : 0.111992, train accurancy : 94.72, test accurancy : 80.46
Epochs : 57, train loss : 0.141776, train accurancy : 98.43, test accurancy : 84.63
Epochs : 58, train loss : 0.113891, train accurancy : 98.80, test accurancy : 85.56
Epochs : 59, train loss : 0.099189, train accurancy : 99.72, test accurancy : 85.83
Epochs : 60, train loss : 0.112807, train accurancy : 99.54, test accurancy : 86.02
Epochs : 61, train loss : 0.102608, train accurancy : 99.44, test accurancy : 85.56
Epochs : 62, train loss : 0.096119, train accurancy : 99.81, test accurancy : 85.74
Epochs : 63, train loss : 0.091332, train accurancy : 99.81, test accurancy : 85.65
Epochs : 64, train loss : 0.079518, train accurancy : 99.81, test accurancy : 84.72
Epochs : 65, train loss : 0.104583, train accurancy : 99.72, test accurancy : 86.11
Epochs : 66, train loss : 0.116234, train accurancy : 98.06, test accurancy : 83.89
Epochs : 67, train loss : 0.116973, train accurancy : 99.91, test accurancy : 85.46
Epochs : 68, train loss : 0.111099, train accurancy : 99.44, test accurancy : 84.07
Epochs : 69, train loss : 0.112047, train accurancy : 100.00, test accurancy : 85.19
Epochs : 70, train loss : 0.097859, train accurancy : 99.72, test accurancy : 85.65
Epochs : 71, train loss : 0.093675, train accurancy : 99.54, test accurancy : 84.63
Epochs : 72, train loss : 0.090157, train accurancy : 99.81, test accurancy : 85.28
Epochs : 73, train loss : 0.079361, train accurancy : 99.35, test accurancy : 83.24
Epochs : 74, train loss : 0.080037, train accurancy : 99.91, test accurancy : 85.56
Epochs : 75, train loss : 0.093516, train accurancy : 100.00, test accurancy : 85.65
Epochs : 76, train loss : 0.085996, train accurancy : 99.91, test accurancy : 85.93
Epochs : 77, train loss : 0.070495, train accurancy : 99.91, test accurancy : 85.19
Epochs : 78, train loss : 0.099055, train accurancy : 99.91, test accurancy : 85.19
Epochs : 79, train loss : 0.083537, train accurancy : 100.00, test accurancy : 85.19
Epochs : 80, train loss : 0.073195, train accurancy : 100.00, test accurancy : 85.65
Epochs : 81, train loss : 0.075608, train accurancy : 99.91, test accurancy : 85.93
Epochs : 82, train loss : 0.080075, train accurancy : 99.35, test accurancy : 84.17
Epochs : 83, train loss : 0.090345, train accurancy : 99.91, test accurancy : 85.83
Epochs : 84, train loss : 0.070105, train accurancy : 100.00, test accurancy : 85.46
Epochs : 85, train loss : 0.079406, train accurancy : 99.81, test accurancy : 85.46
Epochs : 86, train loss : 0.080612, train accurancy : 99.44, test accurancy : 85.37
Epochs : 87, train loss : 0.108537, train accurancy : 99.91, test accurancy : 85.09
Epochs : 88, train loss : 0.080865, train accurancy : 100.00, test accurancy : 85.00
Epochs : 89, train loss : 0.082199, train accurancy : 99.91, test accurancy : 85.37
Epochs : 90, train loss : 0.095640, train accurancy : 99.63, test accurancy : 84.72
Epochs : 91, train loss : 0.079754, train accurancy : 99.91, test accurancy : 84.63
Epochs : 92, train loss : 0.065161, train accurancy : 99.44, test accurancy : 83.70
Epochs : 93, train loss : 0.083222, train accurancy : 100.00, test accurancy : 85.46
Epochs : 94, train loss : 0.053049, train accurancy : 100.00, test accurancy : 84.44
Epochs : 95, train loss : 0.081223, train accurancy : 99.91, test accurancy : 84.81
Epochs : 96, train loss : 0.072161, train accurancy : 99.91, test accurancy : 85.00
Epochs : 97, train loss : 0.071085, train accurancy : 100.00, test accurancy : 84.91
Epochs : 98, train loss : 0.080508, train accurancy : 100.00, test accurancy : 83.98
Epochs : 99, train loss : 0.064225, train accurancy : 100.00, test accurancy : 83.70
Epochs : 100, train loss : 0.059329, train accurancy : 100.00, test accurancy : 84.54
Epochs : 101, train loss : 0.077727, train accurancy : 99.91, test accurancy : 84.35
Epochs : 102, train loss : 0.083947, train accurancy : 99.54, test accurancy : 83.33
Epochs : 103, train loss : 0.084727, train accurancy : 99.72, test accurancy : 85.09
Epochs : 104, train loss : 0.073504, train accurancy : 99.91, test accurancy : 85.46
Epochs : 105, train loss : 0.077030, train accurancy : 100.00, test accurancy : 84.72
Epochs : 106, train loss : 0.077889, train accurancy : 100.00, test accurancy : 85.00
Epochs : 107, train loss : 0.055147, train accurancy : 100.00, test accurancy : 84.35
Epochs : 108, train loss : 0.057345, train accurancy : 100.00, test accurancy : 84.44
Epochs : 109, train loss : 0.058075, train accurancy : 99.91, test accurancy : 84.44
Epochs : 110, train loss : 0.064502, train accurancy : 100.00, test accurancy : 85.93
Epochs : 111, train loss : 0.067675, train accurancy : 100.00, test accurancy : 85.00
Epochs : 112, train loss : 0.048666, train accurancy : 100.00, test accurancy : 85.37
Epochs : 113, train loss : 0.069915, train accurancy : 100.00, test accurancy : 86.11
Epochs : 114, train loss : 0.072148, train accurancy : 100.00, test accurancy : 85.37
Epochs : 115, train loss : 0.052453, train accurancy : 100.00, test accurancy : 85.28
Epochs : 116, train loss : 0.056154, train accurancy : 99.91, test accurancy : 85.93
