Epochs : 81, train loss : 0.129562, train accurancy : 99.44, test accurancy : 85.19
Epochs : 82, train loss : 0.125039, train accurancy : 99.17, test accurancy : 85.00
Epochs : 83, train loss : 0.133688, train accurancy : 99.17, test accurancy : 84.81
Epochs : 84, train loss : 0.141253, train accurancy : 96.57, test accurancy : 83.80
Epochs : 85, train loss : 0.153710, train accurancy : 99.26, test accurancy : 84.17
Epochs : 86, train loss : 0.127964, train accurancy : 98.61, test accurancy : 84.81
Epochs : 87, train loss : 0.125466, train accurancy : 99.44, test accurancy : 84.81
Epochs : 88, train loss : 0.130276, train accurancy : 99.63, test accurancy : 84.07
Epochs : 89, train loss : 0.124233, train accurancy : 99.63, test accurancy : 85.28
Epochs : 90, train loss : 0.110997, train accurancy : 99.54, test accurancy : 84.81
Epochs : 91, train loss : 0.115227, train accurancy : 99.17, test accurancy : 84.54
Epochs : 92, train loss : 0.123670, train accurancy : 99.54, test accurancy : 84.63
Epochs : 93, train loss : 0.141185, train accurancy : 99.72, test accurancy : 84.17
Epochs : 94, train loss : 0.124714, train accurancy : 99.72, test accurancy : 85.19
Epochs : 95, train loss : 0.134661, train accurancy : 98.33, test accurancy : 84.72
Epochs : 96, train loss : 0.113414, train accurancy : 99.81, test accurancy : 84.91
Epochs : 97, train loss : 0.107874, train accurancy : 99.63, test accurancy : 85.28
Epochs : 98, train loss : 0.100281, train accurancy : 99.72, test accurancy : 84.72
Epochs : 99, train loss : 0.120933, train accurancy : 99.54, test accurancy : 85.46
Epochs : 100, train loss : 0.116565, train accurancy : 98.61, test accurancy : 85.83
Epochs : 101, train loss : 0.121361, train accurancy : 99.91, test accurancy : 85.19
Epochs : 102, train loss : 0.095106, train accurancy : 99.26, test accurancy : 85.28
Epochs : 103, train loss : 0.130158, train accurancy : 99.35, test accurancy : 85.09
Epochs : 104, train loss : 0.121247, train accurancy : 99.81, test accurancy : 85.00
Epochs : 105, train loss : 0.102072, train accurancy : 99.81, test accurancy : 84.72
Epochs : 106, train loss : 0.107381, train accurancy : 99.63, test accurancy : 85.37
Epochs : 107, train loss : 0.088338, train accurancy : 99.91, test accurancy : 86.02
Epochs : 108, train loss : 0.115745, train accurancy : 99.91, test accurancy : 84.81
Epochs : 109, train loss : 0.134674, train accurancy : 100.00, test accurancy : 85.56
Epochs : 110, train loss : 0.097335, train accurancy : 99.72, test accurancy : 85.00
Epochs : 111, train loss : 0.104983, train accurancy : 99.63, test accurancy : 84.91
Epochs : 112, train loss : 0.097940, train accurancy : 99.91, test accurancy : 85.56
Epochs : 113, train loss : 0.101505, train accurancy : 99.72, test accurancy : 85.65
Epochs : 114, train loss : 0.088037, train accurancy : 99.81, test accurancy : 85.93
Epochs : 115, train loss : 0.101600, train accurancy : 99.91, test accurancy : 85.65
Epochs : 116, train loss : 0.087842, train accurancy : 99.81, test accurancy : 85.65
Epochs : 117, train loss : 0.098717, train accurancy : 100.00, test accurancy : 85.09
Epochs : 118, train loss : 0.091329, train accurancy : 99.54, test accurancy : 85.19
Epochs : 119, train loss : 0.106384, train accurancy : 99.81, test accurancy : 85.28
Epochs : 120, train loss : 0.106014, train accurancy : 99.26, test accurancy : 85.93
Epochs : 121, train loss : 0.095974, train accurancy : 99.72, test accurancy : 85.28
Epochs : 122, train loss : 0.111175, train accurancy : 99.91, test accurancy : 85.09
Epochs : 123, train loss : 0.087322, train accurancy : 100.00, test accurancy : 85.65
Epochs : 124, train loss : 0.093597, train accurancy : 98.98, test accurancy : 85.65
Epochs : 125, train loss : 0.106796, train accurancy : 99.91, test accurancy : 86.20
Epochs : 126, train loss : 0.100551, train accurancy : 99.91, test accurancy : 86.02
Epochs : 127, train loss : 0.086843, train accurancy : 100.00, test accurancy : 86.11
Epochs : 128, train loss : 0.093188, train accurancy : 99.72, test accurancy : 86.20
Epochs : 129, train loss : 0.074369, train accurancy : 99.91, test accurancy : 85.65
Epochs : 130, train loss : 0.091941, train accurancy : 100.00, test accurancy : 86.02
Epochs : 131, train loss : 0.085195, train accurancy : 100.00, test accurancy : 85.74
Epochs : 132, train loss : 0.096548, train accurancy : 99.91, test accurancy : 85.83
Epochs : 133, train loss : 0.086305, train accurancy : 99.91, test accurancy : 85.37
Epochs : 134, train loss : 0.099302, train accurancy : 99.91, test accurancy : 86.30
Epochs : 135, train loss : 0.094888, train accurancy : 100.00, test accurancy : 86.11
Epochs : 136, train loss : 0.078382, train accurancy : 100.00, test accurancy : 85.83
Epochs : 137, train loss : 0.082800, train accurancy : 99.91, test accurancy : 86.85
Epochs : 138, train loss : 0.084286, train accurancy : 99.81, test accurancy : 85.09
Epochs : 139, train loss : 0.084649, train accurancy : 99.91, test accurancy : 85.37
Epochs : 140, train loss : 0.096010, train accurancy : 100.00, test accurancy : 85.65
Epochs : 141, train loss : 0.076732, train accurancy : 99.91, test accurancy : 85.93
Epochs : 142, train loss : 0.079813, train accurancy : 99.91, test accurancy : 85.74
Epochs : 143, train loss : 0.062181, train accurancy : 99.44, test accurancy : 85.46
Epochs : 144, train loss : 0.093193, train accurancy : 100.00, test accurancy : 85.46
Epochs : 145, train loss : 0.073012, train accurancy : 100.00, test accurancy : 86.57
Epochs : 146, train loss : 0.071909, train accurancy : 99.91, test accurancy : 87.22
Epochs : 147, train loss : 0.080617, train accurancy : 100.00, test accurancy : 85.83
Epochs : 148, train loss : 0.083542, train accurancy : 100.00, test accurancy : 87.04
Epochs : 149, train loss : 0.097842, train accurancy : 99.63, test accurancy : 86.20
Epochs : 150, train loss : 0.094584, train accurancy : 100.00, test accurancy : 86.39
Epochs : 151, train loss : 0.065300, train accurancy : 100.00, test accurancy : 86.48
Epochs : 152, train loss : 0.062943, train accurancy : 100.00, test accurancy : 85.93
Epochs : 153, train loss : 0.065901, train accurancy : 100.00, test accurancy : 86.30
Epochs : 154, train loss : 0.091970, train accurancy : 100.00, test accurancy : 85.93
Epochs : 155, train loss : 0.072916, train accurancy : 100.00, test accurancy : 86.57
Epochs : 156, train loss : 0.073728, train accurancy : 100.00, test accurancy : 86.48
Epochs : 157, train loss : 0.074330, train accurancy : 100.00, test accurancy : 86.67
Epochs : 158, train loss : 0.081569, train accurancy : 100.00, test accurancy : 86.20
Epochs : 159, train loss : 0.072547, train accurancy : 100.00, test accurancy : 86.39
Epochs : 160, train loss : 0.073529, train accurancy : 100.00, test accurancy : 85.46
Epochs : 161, train loss : 0.071412, train accurancy : 100.00, test accurancy : 86.85
Epochs : 162, train loss : 0.077969, train accurancy : 100.00, test accurancy : 85.74
Epochs : 163, train loss : 0.056475, train accurancy : 100.00, test accurancy : 86.02
Epochs : 164, train loss : 0.066659, train accurancy : 99.91, test accurancy : 86.39
Epochs : 165, train loss : 0.057862, train accurancy : 100.00, test accurancy : 86.11
Epochs : 166, train loss : 0.071023, train accurancy : 99.91, test accurancy : 86.20
Epochs : 167, train loss : 0.071081, train accurancy : 99.91, test accurancy : 86.11
Epochs : 168, train loss : 0.063823, train accurancy : 100.00, test accurancy : 86.76
Epochs : 169, train loss : 0.085830, train accurancy : 99.91, test accurancy : 86.85
Epochs : 170, train loss : 0.065824, train accurancy : 100.00, test accurancy : 86.48
Epochs : 171, train loss : 0.084838, train accurancy : 99.63, test accurancy : 85.65
Epochs : 172, train loss : 0.075265, train accurancy : 100.00, test accurancy : 85.74
Epochs : 173, train loss : 0.067862, train accurancy : 100.00, test accurancy : 85.56
Epochs : 174, train loss : 0.066652, train accurancy : 100.00, test accurancy : 87.13
Epochs : 175, train loss : 0.065195, train accurancy : 99.81, test accurancy : 85.37
Epochs : 176, train loss : 0.091554, train accurancy : 99.91, test accurancy : 86.48
Epochs : 177, train loss : 0.079328, train accurancy : 100.00, test accurancy : 85.56
Epochs : 178, train loss : 0.061600, train accurancy : 100.00, test accurancy : 87.13
Epochs : 179, train loss : 0.072119, train accurancy : 100.00, test accurancy : 86.30
Epochs : 180, train loss : 0.069736, train accurancy : 99.91, test accurancy : 86.76
Epochs : 181, train loss : 0.058182, train accurancy : 100.00, test accurancy : 86.20
Epochs : 182, train loss : 0.065449, train accurancy : 99.91, test accurancy : 86.20
Epochs : 183, train loss : 0.055510, train accurancy : 100.00, test accurancy : 85.65
Epochs : 184, train loss : 0.053968, train accurancy : 100.00, test accurancy : 87.31
Epochs : 185, train loss : 0.057537, train accurancy : 100.00, test accurancy : 86.02
Epochs : 186, train loss : 0.064310, train accurancy : 100.00, test accurancy : 86.02
Epochs : 187, train loss : 0.065039, train accurancy : 100.00, test accurancy : 86.30
Epochs : 188, train loss : 0.056753, train accurancy : 99.91, test accurancy : 87.22
Epochs : 189, train loss : 0.054753, train accurancy : 100.00, test accurancy : 85.74
Epochs : 190, train loss : 0.069086, train accurancy : 100.00, test accurancy : 87.13
Epochs : 191, train loss : 0.059005, train accurancy : 100.00, test accurancy : 86.94
Epochs : 192, train loss : 0.062847, train accurancy : 100.00, test accurancy : 86.11
Epochs : 193, train loss : 0.055969, train accurancy : 100.00, test accurancy : 86.39
Epochs : 194, train loss : 0.036035, train accurancy : 100.00, test accurancy : 86.39
Epochs : 195, train loss : 0.073476, train accurancy : 100.00, test accurancy : 85.93
Epochs : 196, train loss : 0.054602, train accurancy : 100.00, test accurancy : 86.30
Epochs : 197, train loss : 0.055518, train accurancy : 100.00, test accurancy : 86.20
Epochs : 198, train loss : 0.062827, train accurancy : 100.00, test accurancy : 87.31
Epochs : 199, train loss : 0.060539, train accurancy : 100.00, test accurancy : 87.04
Epochs : 200, train loss : 0.057950, train accurancy : 100.00, test accurancy : 87.22
Epochs : 201, train loss : 0.057670, train accurancy : 100.00, test accurancy : 86.30
Epochs : 202, train loss : 0.047876, train accurancy : 100.00, test accurancy : 86.48
Epochs : 203, train loss : 0.065612, train accurancy : 100.00, test accurancy : 86.48
Epochs : 204, train loss : 0.063343, train accurancy : 100.00, test accurancy : 86.20
Epochs : 205, train loss : 0.049954, train accurancy : 100.00, test accurancy : 86.48
Epochs : 206, train loss : 0.055399, train accurancy : 100.00, test accurancy : 86.39
Epochs : 207, train loss : 0.057890, train accurancy : 100.00, test accurancy : 86.30
Epochs : 208, train loss : 0.056261, train accurancy : 100.00, test accurancy : 86.57
Epochs : 209, train loss : 0.063202, train accurancy : 100.00, test accurancy : 85.83
Epochs : 210, train loss : 0.052775, train accurancy : 100.00, test accurancy : 86.85
Epochs : 211, train loss : 0.058649, train accurancy : 100.00, test accurancy : 86.85
Epochs : 212, train loss : 0.050813, train accurancy : 100.00, test accurancy : 86.02
Epochs : 213, train loss : 0.067647, train accurancy : 100.00, test accurancy : 85.74
Epochs : 214, train loss : 0.070320, train accurancy : 100.00, test accurancy : 86.57
Epochs : 215, train loss : 0.051821, train accurancy : 100.00, test accurancy : 86.85
Epochs : 216, train loss : 0.073329, train accurancy : 99.91, test accurancy : 86.20
Epochs : 217, train loss : 0.057855, train accurancy : 99.91, test accurancy : 85.28
Epochs : 218, train loss : 0.042101, train accurancy : 100.00, test accurancy : 86.39
Epochs : 219, train loss : 0.043574, train accurancy : 100.00, test accurancy : 86.11
Epochs : 220, train loss : 0.053332, train accurancy : 100.00, test accurancy : 86.20
Epochs : 221, train loss : 0.058216, train accurancy : 100.00, test accurancy : 86.48
Epochs : 222, train loss : 0.071063, train accurancy : 100.00, test accurancy : 86.11
Epochs : 223, train loss : 0.051899, train accurancy : 99.91, test accurancy : 86.67
Epochs : 224, train loss : 0.041849, train accurancy : 100.00, test accurancy : 86.67
Epochs : 225, train loss : 0.056183, train accurancy : 100.00, test accurancy : 85.74
Epochs : 226, train loss : 0.063352, train accurancy : 100.00, test accurancy : 87.04
Epochs : 227, train loss : 0.042871, train accurancy : 100.00, test accurancy : 86.30
Epochs : 228, train loss : 0.051080, train accurancy : 100.00, test accurancy : 87.78
Epochs : 229, train loss : 0.058605, train accurancy : 99.91, test accurancy : 87.31
Epochs : 230, train loss : 0.059130, train accurancy : 100.00, test accurancy : 86.67
Epochs : 231, train loss : 0.060524, train accurancy : 99.91, test accurancy : 86.11
Epochs : 232, train loss : 0.060518, train accurancy : 100.00, test accurancy : 86.48
Epochs : 233, train loss : 0.048566, train accurancy : 100.00, test accurancy : 86.85
Epochs : 234, train loss : 0.056519, train accurancy : 100.00, test accurancy : 85.46
Epochs : 235, train loss : 0.048153, train accurancy : 100.00, test accurancy : 86.30
Epochs : 236, train loss : 0.051971, train accurancy : 100.00, test accurancy : 87.04
Epochs : 237, train loss : 0.057249, train accurancy : 100.00, test accurancy : 86.85
Epochs : 238, train loss : 0.048698, train accurancy : 100.00, test accurancy : 87.04
Epochs : 239, train loss : 0.058098, train accurancy : 100.00, test accurancy : 86.76
Epochs : 240, train loss : 0.049479, train accurancy : 100.00, test accurancy : 86.85
Epochs : 241, train loss : 0.048759, train accurancy : 100.00, test accurancy : 85.28
Epochs : 242, train loss : 0.053691, train accurancy : 100.00, test accurancy : 86.11
Epochs : 243, train loss : 0.055834, train accurancy : 100.00, test accurancy : 86.48
Epochs : 244, train loss : 0.050613, train accurancy : 100.00, test accurancy : 87.04
Epochs : 245, train loss : 0.044706, train accurancy : 100.00, test accurancy : 86.11
Epochs : 246, train loss : 0.064743, train accurancy : 100.00, test accurancy : 86.30
Epochs : 247, train loss : 0.043673, train accurancy : 100.00, test accurancy : 86.02
Epochs : 248, train loss : 0.049365, train accurancy : 100.00, test accurancy : 86.20
Epochs : 249, train loss : 0.048145, train accurancy : 100.00, test accurancy : 85.83
Epochs : 250, train loss : 0.056944, train accurancy : 100.00, test accurancy : 85.93
Epochs : 251, train loss : 0.047425, train accurancy : 100.00, test accurancy : 86.11
Epochs : 252, train loss : 0.046503, train accurancy : 100.00, test accurancy : 86.39
Epochs : 253, train loss : 0.038225, train accurancy : 100.00, test accurancy : 86.76
Epochs : 254, train loss : 0.049504, train accurancy : 100.00, test accurancy : 86.11
Epochs : 255, train loss : 0.060300, train accurancy : 100.00, test accurancy : 86.20
Epochs : 256, train loss : 0.045033, train accurancy : 100.00, test accurancy : 86.11
Epochs : 257, train loss : 0.039467, train accurancy : 100.00, test accurancy : 86.67
Epochs : 258, train loss : 0.045778, train accurancy : 100.00, test accurancy : 85.74
Epochs : 259, train loss : 0.049358, train accurancy : 100.00, test accurancy : 87.13
Epochs : 260, train loss : 0.049920, train accurancy : 100.00, test accurancy : 87.41
Epochs : 261, train loss : 0.042343, train accurancy : 100.00, test accurancy : 87.59
Epochs : 262, train loss : 0.051116, train accurancy : 100.00, test accurancy : 86.48
Epochs : 263, train loss : 0.053127, train accurancy : 100.00, test accurancy : 86.67
Epochs : 264, train loss : 0.044224, train accurancy : 100.00, test accurancy : 85.56
Epochs : 265, train loss : 0.050971, train accurancy : 100.00, test accurancy : 87.41
Epochs : 266, train loss : 0.053387, train accurancy : 100.00, test accurancy : 86.39
Epochs : 267, train loss : 0.047542, train accurancy : 100.00, test accurancy : 86.67
Epochs : 268, train loss : 0.058060, train accurancy : 100.00, test accurancy : 86.76
Epochs : 269, train loss : 0.051127, train accurancy : 100.00, test accurancy : 86.20
Epochs : 270, train loss : 0.071523, train accurancy : 100.00, test accurancy : 86.30
Epochs : 271, train loss : 0.033937, train accurancy : 100.00, test accurancy : 86.85
Epochs : 272, train loss : 0.038275, train accurancy : 100.00, test accurancy : 87.50
Epochs : 273, train loss : 0.055934, train accurancy : 100.00, test accurancy : 86.85
Epochs : 274, train loss : 0.049353, train accurancy : 100.00, test accurancy : 87.50
Epochs : 275, train loss : 0.067429, train accurancy : 100.00, test accurancy : 86.48
Epochs : 276, train loss : 0.044873, train accurancy : 100.00, test accurancy : 86.02
Epochs : 277, train loss : 0.053947, train accurancy : 100.00, test accurancy : 87.13
Epochs : 278, train loss : 0.049548, train accurancy : 100.00, test accurancy : 86.48
Epochs : 279, train loss : 0.046223, train accurancy : 100.00, test accurancy : 87.31
Epochs : 280, train loss : 0.039670, train accurancy : 100.00, test accurancy : 87.31
Epochs : 281, train loss : 0.046489, train accurancy : 100.00, test accurancy : 86.57
Epochs : 282, train loss : 0.038595, train accurancy : 100.00, test accurancy : 86.67
Epochs : 283, train loss : 0.042523, train accurancy : 100.00, test accurancy : 85.83
Epochs : 284, train loss : 0.047837, train accurancy : 100.00, test accurancy : 86.20
Epochs : 285, train loss : 0.048123, train accurancy : 100.00, test accurancy : 86.39
Epochs : 286, train loss : 0.038711, train accurancy : 100.00, test accurancy : 86.48
Epochs : 287, train loss : 0.055699, train accurancy : 100.00, test accurancy : 86.11
Epochs : 288, train loss : 0.051488, train accurancy : 100.00, test accurancy : 87.50
Epochs : 289, train loss : 0.037294, train accurancy : 100.00, test accurancy : 85.74
Epochs : 290, train loss : 0.048822, train accurancy : 100.00, test accurancy : 86.57
Epochs : 291, train loss : 0.032209, train accurancy : 100.00, test accurancy : 86.48
Epochs : 292, train loss : 0.038319, train accurancy : 100.00, test accurancy : 87.22
Epochs : 293, train loss : 0.052446, train accurancy : 100.00, test accurancy : 86.76
Epochs : 294, train loss : 0.040863, train accurancy : 100.00, test accurancy : 86.57
Epochs : 295, train loss : 0.065246, train accurancy : 100.00, test accurancy : 85.83
Epochs : 296, train loss : 0.043892, train accurancy : 100.00, test accurancy : 86.76
Epochs : 297, train loss : 0.053581, train accurancy : 100.00, test accurancy : 86.57
Epochs : 298, train loss : 0.048967, train accurancy : 100.00, test accurancy : 86.57
Epochs : 299, train loss : 0.047154, train accurancy : 100.00, test accurancy : 87.59
Epochs : 300, train loss : 0.043996, train accurancy : 100.00, test accurancy : 87.22
