Epochs : 1, train loss : 0.689002, train accurancy : 60.74, test accurancy : 58.43
Epochs : 2, train loss : 0.643044, train accurancy : 65.19, test accurancy : 64.91
Epochs : 3, train loss : 0.606623, train accurancy : 66.48, test accurancy : 67.13
Epochs : 4, train loss : 0.587606, train accurancy : 68.06, test accurancy : 68.43
Epochs : 5, train loss : 0.575489, train accurancy : 69.35, test accurancy : 67.04
Epochs : 6, train loss : 0.554363, train accurancy : 70.46, test accurancy : 67.96
Epochs : 7, train loss : 0.561965, train accurancy : 70.93, test accurancy : 69.07
Epochs : 8, train loss : 0.543147, train accurancy : 71.39, test accurancy : 70.00
Epochs : 9, train loss : 0.541105, train accurancy : 72.04, test accurancy : 69.81
Epochs : 10, train loss : 0.529802, train accurancy : 72.50, test accurancy : 70.37
Epochs : 11, train loss : 0.534732, train accurancy : 73.52, test accurancy : 70.65
Epochs : 12, train loss : 0.533593, train accurancy : 73.61, test accurancy : 71.02
Epochs : 13, train loss : 0.509510, train accurancy : 73.52, test accurancy : 71.11
Epochs : 14, train loss : 0.499263, train accurancy : 75.00, test accurancy : 71.02
Epochs : 15, train loss : 0.509776, train accurancy : 75.93, test accurancy : 71.30
Epochs : 16, train loss : 0.514925, train accurancy : 75.46, test accurancy : 71.20
Epochs : 17, train loss : 0.502203, train accurancy : 75.74, test accurancy : 71.30
Epochs : 18, train loss : 0.498409, train accurancy : 76.30, test accurancy : 71.48
Epochs : 19, train loss : 0.489132, train accurancy : 76.30, test accurancy : 71.67
Epochs : 20, train loss : 0.507956, train accurancy : 76.67, test accurancy : 71.94
Epochs : 21, train loss : 0.480401, train accurancy : 77.04, test accurancy : 72.04
Epochs : 22, train loss : 0.501409, train accurancy : 77.59, test accurancy : 72.31
Epochs : 23, train loss : 0.493727, train accurancy : 78.33, test accurancy : 72.04
Epochs : 24, train loss : 0.466775, train accurancy : 78.43, test accurancy : 72.69
Epochs : 25, train loss : 0.488551, train accurancy : 78.24, test accurancy : 72.22
Epochs : 26, train loss : 0.482006, train accurancy : 78.15, test accurancy : 72.87
Epochs : 27, train loss : 0.471169, train accurancy : 78.24, test accurancy : 73.15
Epochs : 28, train loss : 0.468886, train accurancy : 78.70, test accurancy : 72.96
Epochs : 29, train loss : 0.481761, train accurancy : 79.63, test accurancy : 73.06
Epochs : 30, train loss : 0.465542, train accurancy : 79.54, test accurancy : 73.33
Epochs : 31, train loss : 0.453068, train accurancy : 79.17, test accurancy : 73.61
Epochs : 32, train loss : 0.443788, train accurancy : 79.72, test accurancy : 73.61
Epochs : 33, train loss : 0.452229, train accurancy : 79.63, test accurancy : 73.52
Epochs : 34, train loss : 0.450284, train accurancy : 80.09, test accurancy : 73.89
Epochs : 35, train loss : 0.453756, train accurancy : 80.09, test accurancy : 73.98
Epochs : 36, train loss : 0.448910, train accurancy : 80.56, test accurancy : 73.98
Epochs : 37, train loss : 0.441171, train accurancy : 80.28, test accurancy : 74.63
Epochs : 38, train loss : 0.452101, train accurancy : 81.20, test accurancy : 74.17
Epochs : 39, train loss : 0.430583, train accurancy : 80.93, test accurancy : 74.26
Epochs : 40, train loss : 0.452175, train accurancy : 81.39, test accurancy : 74.54
Epochs : 41, train loss : 0.434016, train accurancy : 81.30, test accurancy : 74.81
Epochs : 42, train loss : 0.433149, train accurancy : 81.39, test accurancy : 74.91
Epochs : 43, train loss : 0.431842, train accurancy : 81.76, test accurancy : 75.28
Epochs : 44, train loss : 0.428187, train accurancy : 82.04, test accurancy : 75.28
Epochs : 45, train loss : 0.427107, train accurancy : 82.41, test accurancy : 75.56
Epochs : 46, train loss : 0.431425, train accurancy : 82.69, test accurancy : 75.19
Epochs : 47, train loss : 0.414143, train accurancy : 82.78, test accurancy : 75.65
Epochs : 48, train loss : 0.424133, train accurancy : 83.15, test accurancy : 75.74
Epochs : 49, train loss : 0.417605, train accurancy : 82.69, test accurancy : 75.46
Epochs : 50, train loss : 0.421372, train accurancy : 83.61, test accurancy : 76.11
Epochs : 51, train loss : 0.421138, train accurancy : 83.52, test accurancy : 76.67
Epochs : 52, train loss : 0.403403, train accurancy : 83.89, test accurancy : 76.39
Epochs : 53, train loss : 0.414746, train accurancy : 84.26, test accurancy : 75.83
Epochs : 54, train loss : 0.408420, train accurancy : 83.61, test accurancy : 75.93
Epochs : 55, train loss : 0.389812, train accurancy : 83.15, test accurancy : 75.83
Epochs : 56, train loss : 0.391951, train accurancy : 84.44, test accurancy : 76.57
Epochs : 57, train loss : 0.398391, train accurancy : 85.65, test accurancy : 76.57
Epochs : 58, train loss : 0.380943, train accurancy : 85.65, test accurancy : 76.76
Epochs : 59, train loss : 0.406203, train accurancy : 85.37, test accurancy : 77.31
Epochs : 60, train loss : 0.385908, train accurancy : 84.54, test accurancy : 77.87
Epochs : 61, train loss : 0.372665, train accurancy : 85.37, test accurancy : 77.59
Epochs : 62, train loss : 0.384917, train accurancy : 85.56, test accurancy : 77.50
Epochs : 63, train loss : 0.382209, train accurancy : 85.56, test accurancy : 77.31
Epochs : 64, train loss : 0.355186, train accurancy : 86.02, test accurancy : 78.33
Epochs : 65, train loss : 0.371905, train accurancy : 86.48, test accurancy : 78.43
Epochs : 66, train loss : 0.377888, train accurancy : 86.85, test accurancy : 78.61
Epochs : 67, train loss : 0.355294, train accurancy : 87.22, test accurancy : 77.78
Epochs : 68, train loss : 0.383606, train accurancy : 87.31, test accurancy : 78.80
Epochs : 69, train loss : 0.375551, train accurancy : 86.76, test accurancy : 78.61
Epochs : 70, train loss : 0.357396, train accurancy : 87.41, test accurancy : 78.70
Epochs : 71, train loss : 0.365410, train accurancy : 87.22, test accurancy : 79.17
Epochs : 72, train loss : 0.356159, train accurancy : 87.59, test accurancy : 79.17
Epochs : 73, train loss : 0.361861, train accurancy : 86.85, test accurancy : 78.52
Epochs : 74, train loss : 0.355789, train accurancy : 85.46, test accurancy : 78.70
Epochs : 75, train loss : 0.364360, train accurancy : 87.50, test accurancy : 78.52
Epochs : 76, train loss : 0.344835, train accurancy : 88.52, test accurancy : 79.07
Epochs : 77, train loss : 0.333392, train accurancy : 87.41, test accurancy : 79.44
Epochs : 78, train loss : 0.348681, train accurancy : 87.96, test accurancy : 79.07
Epochs : 79, train loss : 0.337892, train accurancy : 87.41, test accurancy : 79.07
Epochs : 80, train loss : 0.337089, train accurancy : 88.61, test accurancy : 79.26
Epochs : 81, train loss : 0.342796, train accurancy : 88.33, test accurancy : 78.80
Epochs : 82, train loss : 0.360952, train accurancy : 88.24, test accurancy : 78.70
Epochs : 83, train loss : 0.339243, train accurancy : 88.61, test accurancy : 79.35
Epochs : 84, train loss : 0.342622, train accurancy : 88.89, test accurancy : 79.81
Epochs : 85, train loss : 0.334176, train accurancy : 89.26, test accurancy : 78.98
Epochs : 86, train loss : 0.339201, train accurancy : 89.54, test accurancy : 79.63
Epochs : 87, train loss : 0.322960, train accurancy : 89.35, test accurancy : 79.81
Epochs : 88, train loss : 0.333545, train accurancy : 87.13, test accurancy : 79.54
Epochs : 89, train loss : 0.322626, train accurancy : 88.15, test accurancy : 79.54
Epochs : 90, train loss : 0.309214, train accurancy : 90.00, test accurancy : 80.00
Epochs : 91, train loss : 0.350243, train accurancy : 90.46, test accurancy : 80.19
Epochs : 92, train loss : 0.305264, train accurancy : 90.00, test accurancy : 80.56
Epochs : 93, train loss : 0.342403, train accurancy : 88.80, test accurancy : 80.83
Epochs : 94, train loss : 0.317489, train accurancy : 90.00, test accurancy : 80.56
Epochs : 95, train loss : 0.312573, train accurancy : 90.19, test accurancy : 80.93
Epochs : 96, train loss : 0.297302, train accurancy : 90.37, test accurancy : 80.09
Epochs : 97, train loss : 0.333112, train accurancy : 90.19, test accurancy : 80.28
Epochs : 98, train loss : 0.303204, train accurancy : 90.19, test accurancy : 81.11
Epochs : 99, train loss : 0.334843, train accurancy : 88.80, test accurancy : 80.74
Epochs : 100, train loss : 0.312720, train accurancy : 90.00, test accurancy : 81.11
Epochs : 101, train loss : 0.314116, train accurancy : 90.09, test accurancy : 81.20
Epochs : 102, train loss : 0.298832, train accurancy : 91.11, test accurancy : 81.39
