Epochs : 1, train loss : 0.658651, train accurancy : 66.20, test accurancy : 64.63
Epochs : 2, train loss : 0.600887, train accurancy : 69.63, test accurancy : 68.33
Epochs : 3, train loss : 0.575685, train accurancy : 71.11, test accurancy : 68.80
Epochs : 4, train loss : 0.550463, train accurancy : 73.43, test accurancy : 70.74
Epochs : 5, train loss : 0.535411, train accurancy : 74.35, test accurancy : 71.39
Epochs : 6, train loss : 0.530384, train accurancy : 74.17, test accurancy : 71.11
Epochs : 7, train loss : 0.515619, train accurancy : 75.19, test accurancy : 70.93
Epochs : 8, train loss : 0.507613, train accurancy : 75.65, test accurancy : 71.48
Epochs : 9, train loss : 0.498000, train accurancy : 76.39, test accurancy : 71.48
Epochs : 10, train loss : 0.496127, train accurancy : 76.94, test accurancy : 72.13
Epochs : 11, train loss : 0.495825, train accurancy : 77.22, test accurancy : 71.57
Epochs : 12, train loss : 0.495746, train accurancy : 77.13, test accurancy : 72.69
Epochs : 13, train loss : 0.491222, train accurancy : 76.94, test accurancy : 73.33
Epochs : 14, train loss : 0.481356, train accurancy : 76.76, test accurancy : 73.52
Epochs : 15, train loss : 0.476716, train accurancy : 78.06, test accurancy : 73.15
Epochs : 16, train loss : 0.469079, train accurancy : 78.52, test accurancy : 72.41
Epochs : 17, train loss : 0.479904, train accurancy : 78.80, test accurancy : 72.04
Epochs : 18, train loss : 0.477417, train accurancy : 78.80, test accurancy : 72.78
Epochs : 19, train loss : 0.463212, train accurancy : 79.54, test accurancy : 73.89
Epochs : 20, train loss : 0.468392, train accurancy : 78.89, test accurancy : 72.41
Epochs : 21, train loss : 0.450913, train accurancy : 80.09, test accurancy : 73.06
Epochs : 22, train loss : 0.456843, train accurancy : 79.81, test accurancy : 72.87
Epochs : 23, train loss : 0.455286, train accurancy : 80.93, test accurancy : 74.07
Epochs : 24, train loss : 0.447466, train accurancy : 80.93, test accurancy : 74.44
Epochs : 25, train loss : 0.453137, train accurancy : 80.74, test accurancy : 73.70
Epochs : 26, train loss : 0.443830, train accurancy : 80.09, test accurancy : 73.61
Epochs : 27, train loss : 0.440428, train accurancy : 80.56, test accurancy : 74.81
Epochs : 28, train loss : 0.450419, train accurancy : 81.30, test accurancy : 74.54
Epochs : 29, train loss : 0.443750, train accurancy : 81.94, test accurancy : 74.72
Epochs : 30, train loss : 0.432278, train accurancy : 81.57, test accurancy : 74.35
Epochs : 31, train loss : 0.436790, train accurancy : 81.67, test accurancy : 74.63
Epochs : 32, train loss : 0.435505, train accurancy : 82.31, test accurancy : 74.44
Epochs : 33, train loss : 0.442589, train accurancy : 82.69, test accurancy : 75.09
Epochs : 34, train loss : 0.428321, train accurancy : 82.50, test accurancy : 75.00
Epochs : 35, train loss : 0.430177, train accurancy : 83.06, test accurancy : 75.46
Epochs : 36, train loss : 0.420019, train accurancy : 83.24, test accurancy : 75.28
Epochs : 37, train loss : 0.420277, train accurancy : 83.98, test accurancy : 74.81
Epochs : 38, train loss : 0.420830, train accurancy : 84.07, test accurancy : 75.00
Epochs : 39, train loss : 0.411220, train accurancy : 84.26, test accurancy : 75.65
Epochs : 40, train loss : 0.405919, train accurancy : 84.72, test accurancy : 75.56
Epochs : 41, train loss : 0.415924, train accurancy : 84.35, test accurancy : 75.93
Epochs : 42, train loss : 0.404900, train accurancy : 83.89, test accurancy : 76.39
Epochs : 43, train loss : 0.402306, train accurancy : 84.07, test accurancy : 76.76
Epochs : 44, train loss : 0.393330, train accurancy : 85.28, test accurancy : 76.48
Epochs : 45, train loss : 0.385807, train accurancy : 85.19, test accurancy : 76.02
Epochs : 46, train loss : 0.391498, train accurancy : 85.28, test accurancy : 76.11
Epochs : 47, train loss : 0.396179, train accurancy : 85.74, test accurancy : 76.85
Epochs : 48, train loss : 0.390796, train accurancy : 85.83, test accurancy : 77.41
Epochs : 49, train loss : 0.388337, train accurancy : 86.57, test accurancy : 77.04
Epochs : 50, train loss : 0.379163, train accurancy : 86.39, test accurancy : 77.22
Epochs : 51, train loss : 0.382148, train accurancy : 87.04, test accurancy : 77.50
Epochs : 52, train loss : 0.382675, train accurancy : 86.20, test accurancy : 78.15
Epochs : 53, train loss : 0.368973, train accurancy : 86.85, test accurancy : 78.06
Epochs : 54, train loss : 0.370564, train accurancy : 87.31, test accurancy : 78.89
Epochs : 55, train loss : 0.364063, train accurancy : 87.41, test accurancy : 79.07
Epochs : 56, train loss : 0.370443, train accurancy : 87.96, test accurancy : 79.17
Epochs : 57, train loss : 0.355189, train accurancy : 87.41, test accurancy : 78.06
Epochs : 58, train loss : 0.353625, train accurancy : 88.52, test accurancy : 78.52
Epochs : 59, train loss : 0.357447, train accurancy : 87.78, test accurancy : 78.89
Epochs : 60, train loss : 0.355279, train accurancy : 88.24, test accurancy : 78.80
Epochs : 61, train loss : 0.342531, train accurancy : 87.78, test accurancy : 79.35
Epochs : 62, train loss : 0.344340, train accurancy : 88.89, test accurancy : 78.33
Epochs : 63, train loss : 0.342816, train accurancy : 88.61, test accurancy : 79.44
Epochs : 64, train loss : 0.344570, train accurancy : 88.61, test accurancy : 78.89
Epochs : 65, train loss : 0.337284, train accurancy : 88.80, test accurancy : 79.07
Epochs : 66, train loss : 0.334453, train accurancy : 89.35, test accurancy : 78.61
Epochs : 67, train loss : 0.330672, train accurancy : 90.00, test accurancy : 78.70
Epochs : 68, train loss : 0.341045, train accurancy : 89.35, test accurancy : 79.17
Epochs : 69, train loss : 0.330372, train accurancy : 89.63, test accurancy : 79.44
Epochs : 70, train loss : 0.324689, train accurancy : 89.54, test accurancy : 79.63
Epochs : 71, train loss : 0.337147, train accurancy : 89.63, test accurancy : 79.17
Epochs : 72, train loss : 0.323727, train accurancy : 90.74, test accurancy : 79.26
Epochs : 73, train loss : 0.315777, train accurancy : 90.09, test accurancy : 79.63
Epochs : 74, train loss : 0.315474, train accurancy : 89.81, test accurancy : 79.44
Epochs : 75, train loss : 0.319367, train accurancy : 90.00, test accurancy : 80.09
Epochs : 76, train loss : 0.318352, train accurancy : 89.91, test accurancy : 80.65
Epochs : 77, train loss : 0.303412, train accurancy : 91.39, test accurancy : 78.98
Epochs : 78, train loss : 0.308493, train accurancy : 90.74, test accurancy : 80.37
Epochs : 79, train loss : 0.304661, train accurancy : 91.30, test accurancy : 80.00
Epochs : 80, train loss : 0.315502, train accurancy : 91.20, test accurancy : 79.81
Epochs : 81, train loss : 0.304082, train accurancy : 90.83, test accurancy : 80.09
Epochs : 82, train loss : 0.314600, train accurancy : 91.30, test accurancy : 80.37
Epochs : 83, train loss : 0.304708, train accurancy : 91.94, test accurancy : 80.00
Epochs : 84, train loss : 0.300700, train accurancy : 92.13, test accurancy : 80.09
Epochs : 85, train loss : 0.307571, train accurancy : 91.67, test accurancy : 80.37
Epochs : 86, train loss : 0.305166, train accurancy : 91.94, test accurancy : 79.54
Epochs : 87, train loss : 0.305214, train accurancy : 92.50, test accurancy : 79.26
Epochs : 88, train loss : 0.292871, train accurancy : 90.83, test accurancy : 79.91
Epochs : 89, train loss : 0.288317, train accurancy : 91.94, test accurancy : 80.46
Epochs : 90, train loss : 0.299578, train accurancy : 92.50, test accurancy : 80.56
Epochs : 91, train loss : 0.280068, train accurancy : 92.50, test accurancy : 79.72
Epochs : 92, train loss : 0.285983, train accurancy : 92.50, test accurancy : 80.09
Epochs : 93, train loss : 0.293130, train accurancy : 91.94, test accurancy : 80.56
Epochs : 94, train loss : 0.286378, train accurancy : 92.59, test accurancy : 80.46
Epochs : 95, train loss : 0.278713, train accurancy : 93.33, test accurancy : 80.28
Epochs : 96, train loss : 0.281159, train accurancy : 93.15, test accurancy : 80.93
Epochs : 97, train loss : 0.284470, train accurancy : 92.31, test accurancy : 80.19
Epochs : 98, train loss : 0.269324, train accurancy : 92.96, test accurancy : 80.37
Epochs : 99, train loss : 0.262719, train accurancy : 92.96, test accurancy : 80.93
Epochs : 100, train loss : 0.266628, train accurancy : 92.87, test accurancy : 80.46
Epochs : 101, train loss : 0.271548, train accurancy : 92.96, test accurancy : 80.83
Epochs : 102, train loss : 0.265776, train accurancy : 93.24, test accurancy : 80.56
Epochs : 103, train loss : 0.285063, train accurancy : 93.52, test accurancy : 80.28
Epochs : 104, train loss : 0.260294, train accurancy : 93.24, test accurancy : 80.74
Epochs : 105, train loss : 0.268118, train accurancy : 93.33, test accurancy : 80.93
Epochs : 106, train loss : 0.278052, train accurancy : 92.69, test accurancy : 80.83
Epochs : 107, train loss : 0.272982, train accurancy : 93.80, test accurancy : 80.46
Epochs : 108, train loss : 0.252793, train accurancy : 93.61, test accurancy : 80.74
Epochs : 109, train loss : 0.266690, train accurancy : 93.80, test accurancy : 80.93
Epochs : 110, train loss : 0.267945, train accurancy : 93.80, test accurancy : 80.00
Epochs : 111, train loss : 0.267942, train accurancy : 93.98, test accurancy : 81.02
Epochs : 112, train loss : 0.254596, train accurancy : 94.07, test accurancy : 80.83
Epochs : 113, train loss : 0.258340, train accurancy : 93.98, test accurancy : 81.02
Epochs : 114, train loss : 0.241793, train accurancy : 93.70, test accurancy : 81.02
Epochs : 115, train loss : 0.264618, train accurancy : 94.26, test accurancy : 80.37
Epochs : 116, train loss : 0.265535, train accurancy : 93.80, test accurancy : 80.74
Epochs : 117, train loss : 0.254630, train accurancy : 94.07, test accurancy : 81.02
Epochs : 118, train loss : 0.231640, train accurancy : 94.26, test accurancy : 81.48
Epochs : 119, train loss : 0.242005, train accurancy : 94.54, test accurancy : 81.67
Epochs : 120, train loss : 0.252811, train accurancy : 94.44, test accurancy : 81.39
Epochs : 121, train loss : 0.243413, train accurancy : 94.35, test accurancy : 81.20
Epochs : 122, train loss : 0.245110, train accurancy : 95.00, test accurancy : 81.48
Epochs : 123, train loss : 0.242135, train accurancy : 94.72, test accurancy : 81.02
Epochs : 124, train loss : 0.237307, train accurancy : 95.28, test accurancy : 81.48
Epochs : 125, train loss : 0.234384, train accurancy : 95.09, test accurancy : 81.11
Epochs : 126, train loss : 0.247171, train accurancy : 95.37, test accurancy : 81.11
Epochs : 127, train loss : 0.243560, train accurancy : 94.91, test accurancy : 81.11
Epochs : 128, train loss : 0.243389, train accurancy : 94.91, test accurancy : 81.85
Epochs : 129, train loss : 0.243795, train accurancy : 95.37, test accurancy : 81.30
Epochs : 130, train loss : 0.245956, train accurancy : 95.19, test accurancy : 81.57
Epochs : 131, train loss : 0.237704, train accurancy : 95.28, test accurancy : 81.94
